Year,Value,Units,Series
2016,12.2,Gaualdiak,Turisten ostatu-gauak biztanleko
2017,10.8,Gaualdiak,Turisten ostatu-gauak biztanleko
2018,10.4,Gaualdiak,Turisten ostatu-gauak biztanleko
2019,10.0,Gaualdiak,Turisten ostatu-gauak biztanleko
2020,6.0,Gaualdiak,Turisten ostatu-gauak biztanleko
2021,7.3,Gaualdiak,Turisten ostatu-gauak biztanleko
2022,9.3,Gaualdiak,Turisten ostatu-gauak biztanleko
2023,10.5,Gaualdiak,Turisten ostatu-gauak biztanleko
2024,11.0,Gaualdiak,Turisten ostatu-gauak biztanleko
2016,9.3,Gaualdiak,Egoiliarrak ez diren turisten ostatu-gauak biztanleko
2017,8.5,Gaualdiak,Egoiliarrak ez diren turisten ostatu-gauak biztanleko
2018,8.0,Gaualdiak,Egoiliarrak ez diren turisten ostatu-gauak biztanleko
2019,7.4,Gaualdiak,Egoiliarrak ez diren turisten ostatu-gauak biztanleko
2020,3.6,Gaualdiak,Egoiliarrak ez diren turisten ostatu-gauak biztanleko
2021,4.7,Gaualdiak,Egoiliarrak ez diren turisten ostatu-gauak biztanleko
2022,7.6,Gaualdiak,Egoiliarrak ez diren turisten ostatu-gauak biztanleko
2023,8.7,Gaualdiak,Egoiliarrak ez diren turisten ostatu-gauak biztanleko
2024,8.9,Gaualdiak,Egoiliarrak ez diren turisten ostatu-gauak biztanleko
2016,33.7,%,"Gehieneko okupazioko bi hilabeteetan turistek igarotako gauen proportzioa, turisten ostatu-gau guztien aldean"
2017,30.7,%,"Gehieneko okupazioko bi hilabeteetan turistek igarotako gauen proportzioa, turisten ostatu-gau guztien aldean"
2018,31.2,%,"Gehieneko okupazioko bi hilabeteetan turistek igarotako gauen proportzioa, turisten ostatu-gau guztien aldean"
2019,27.8,%,"Gehieneko okupazioko bi hilabeteetan turistek igarotako gauen proportzioa, turisten ostatu-gau guztien aldean"
2020,36.8,%,"Gehieneko okupazioko bi hilabeteetan turistek igarotako gauen proportzioa, turisten ostatu-gau guztien aldean"
2021,40.6,%,"Gehieneko okupazioko bi hilabeteetan turistek igarotako gauen proportzioa, turisten ostatu-gau guztien aldean"
2022,27.9,%,"Gehieneko okupazioko bi hilabeteetan turistek igarotako gauen proportzioa, turisten ostatu-gau guztien aldean"
2023,28.6,%,"Gehieneko okupazioko bi hilabeteetan turistek igarotako gauen proportzioa, turisten ostatu-gau guztien aldean"
2024,28.0,%,"Gehieneko okupazioko bi hilabeteetan turistek igarotako gauen proportzioa, turisten ostatu-gau guztien aldean"
2016,32.1,%,"Gehieneko okupazioko bi hilabeteetan egoiliarrak ez diren turisten ostatu-gauen proportzioa, egoiliarrak ez diren turisten ostatu-gauen guztizkoen artean"
2017,30.5,%,"Gehieneko okupazioko bi hilabeteetan egoiliarrak ez diren turisten ostatu-gauen proportzioa, egoiliarrak ez diren turisten ostatu-gauen guztizkoen artean"
2018,30.6,%,"Gehieneko okupazioko bi hilabeteetan egoiliarrak ez diren turisten ostatu-gauen proportzioa, egoiliarrak ez diren turisten ostatu-gauen guztizkoen artean"
2019,27.4,%,"Gehieneko okupazioko bi hilabeteetan egoiliarrak ez diren turisten ostatu-gauen proportzioa, egoiliarrak ez diren turisten ostatu-gauen guztizkoen artean"
2020,40.0,%,"Gehieneko okupazioko bi hilabeteetan egoiliarrak ez diren turisten ostatu-gauen proportzioa, egoiliarrak ez diren turisten ostatu-gauen guztizkoen artean"
2021,40.9,%,"Gehieneko okupazioko bi hilabeteetan egoiliarrak ez diren turisten ostatu-gauen proportzioa, egoiliarrak ez diren turisten ostatu-gauen guztizkoen artean"
2022,29.8,%,"Gehieneko okupazioko bi hilabeteetan egoiliarrak ez diren turisten ostatu-gauen proportzioa, egoiliarrak ez diren turisten ostatu-gauen guztizkoen artean"
2023,26.6,%,"Gehieneko okupazioko bi hilabeteetan egoiliarrak ez diren turisten ostatu-gauen proportzioa, egoiliarrak ez diren turisten ostatu-gauen guztizkoen artean"
2024,27.1,%,"Gehieneko okupazioko bi hilabeteetan egoiliarrak ez diren turisten ostatu-gauen proportzioa, egoiliarrak ez diren turisten ostatu-gauen guztizkoen artean"
