Year,Value,Units,Series
2010,27.8,IX,CO2 isurketak 1990. urtearekiko
2011,14.36,IX,CO2 isurketak 1990. urtearekiko
2012,20.94,IX,CO2 isurketak 1990. urtearekiko
2013,10.21,IX,CO2 isurketak 1990. urtearekiko
2014,9.1,IX,CO2 isurketak 1990. urtearekiko
2015,11.36,IX,CO2 isurketak 1990. urtearekiko
2016,11.09,IX,CO2 isurketak 1990. urtearekiko
2017,16.19,IX,CO2 isurketak 1990. urtearekiko
2018,12.84,IX,CO2 isurketak 1990. urtearekiko
2019,18.75,IX,CO2 isurketak 1990. urtearekiko
2020,4.52,IX,CO2 isurketak 1990. urtearekiko
2021,13.46,IX,CO2 isurketak 1990. urtearekiko
2022,22.47,IX,CO2 isurketak 1990. urtearekiko
