goal,status,count,percentage,total
overall,significant_progress,97,37.16475095785441,261
overall,moderate_progress,14,5.363984674329502,261
overall,not_available,14,5.363984674329502,261
overall,significant_deterioration,15,5.747126436781609,261
overall,moderate_deterioration,20,7.662835249042145,261
overall,no_progress,6,2.2988505747126435,261
overall,notstarted,85,32.56704980842912,261
overall,notapplicable,10,3.8314176245210727,261
1,significant_progress,5,38.46153846153847,13
1,moderate_deterioration,1,7.6923076923076925,13
1,significant_deterioration,2,15.384615384615385,13
1,no_progress,1,7.6923076923076925,13
1,moderate_progress,1,7.6923076923076925,13
1,notapplicable,1,7.6923076923076925,13
1,notstarted,2,15.384615384615385,13
2,moderate_deterioration,4,22.22222222222222,18
2,not_available,2,11.11111111111111,18
2,no_progress,1,5.555555555555555,18
2,significant_progress,4,22.22222222222222,18
2,moderate_progress,1,5.555555555555555,18
2,notstarted,6,33.33333333333333,18
3,not_available,2,6.666666666666667,30
3,moderate_deterioration,7,23.333333333333332,30
3,no_progress,1,3.3333333333333335,30
3,significant_progress,12,40.0,30
3,significant_deterioration,1,3.3333333333333335,30
3,moderate_progress,1,3.3333333333333335,30
3,notstarted,6,20.0,30
4,significant_progress,5,38.46153846153847,13
4,moderate_progress,2,15.384615384615385,13
4,moderate_deterioration,1,7.6923076923076925,13
4,not_available,1,7.6923076923076925,13
4,no_progress,1,7.6923076923076925,13
4,notstarted,3,23.076923076923077,13
5,moderate_progress,2,14.285714285714285,14
5,significant_progress,5,35.714285714285715,14
5,significant_deterioration,2,14.285714285714285,14
5,moderate_deterioration,1,7.142857142857142,14
5,notstarted,4,28.57142857142857,14
6,significant_progress,6,54.54545454545454,11
6,not_available,1,9.090909090909092,11
6,notstarted,4,36.36363636363637,11
7,significant_progress,4,66.66666666666666,6
7,moderate_progress,1,16.666666666666664,6
7,notstarted,1,16.666666666666664,6
8,significant_progress,7,38.88888888888889,18
8,significant_deterioration,1,5.555555555555555,18
8,no_progress,1,5.555555555555555,18
8,not_available,2,11.11111111111111,18
8,moderate_progress,2,11.11111111111111,18
8,notstarted,5,27.77777777777778,18
9,moderate_progress,2,15.384615384615385,13
9,significant_progress,7,53.84615384615385,13
9,significant_deterioration,1,7.6923076923076925,13
9,moderate_deterioration,1,7.6923076923076925,13
9,notstarted,2,15.384615384615385,13
10,not_available,1,7.142857142857142,14
10,no_progress,1,7.142857142857142,14
10,moderate_deterioration,1,7.142857142857142,14
10,significant_deterioration,2,14.285714285714285,14
10,significant_progress,1,7.142857142857142,14
10,notapplicable,1,7.142857142857142,14
10,notstarted,7,50.0,14
11,significant_progress,11,68.75,16
11,significant_deterioration,1,6.25,16
11,notstarted,4,25.0,16
12,significant_progress,5,38.46153846153847,13
12,not_available,1,7.6923076923076925,13
12,moderate_deterioration,2,15.384615384615385,13
12,notapplicable,1,7.6923076923076925,13
12,notstarted,4,30.76923076923077,13
13,significant_progress,5,62.5,8
13,notapplicable,2,25.0,8
13,notstarted,1,12.5,8
14,significant_progress,2,20.0,10
14,notstarted,8,80.0,10
15,significant_progress,6,40.0,15
15,not_available,2,13.333333333333334,15
15,notstarted,7,46.666666666666664,15
16,significant_progress,5,20.0,25
16,significant_deterioration,5,20.0,25
16,moderate_deterioration,1,4.0,25
16,moderate_progress,1,4.0,25
16,notstarted,12,48.0,25
16,notapplicable,1,4.0,25
17,significant_progress,7,29.166666666666668,24
17,not_available,2,8.333333333333332,24
17,moderate_progress,1,4.166666666666666,24
17,moderate_deterioration,1,4.166666666666666,24
17,notstarted,9,37.5,24
17,notapplicable,4,16.666666666666664,24
