NÚM OBJETIVO,NOMBRE OBJETIVO,NÚM META,NOMBRE META,NÚM INDICADOR,NOMBRE INDICADOR NNUU,INDICADOR DISPONIBLE,SERIE,NOMBRE SERIE,REPORTING_STATUS,BOOLEANO,GOLDILOCK,INDICADOR NO ESTADÍSTICO,TIPO GRÁFICO,MAPA,INDICADORES RELACIONADOS,DESAGREGACIÓN SEXO,DESAGREGACIÓN TH,DESAGREGACIÓN MUNICIPIO,AÑO INICIAL,PERIODICIDAD,TEXTO OCECA,DIRECCIÓN DESEADA,PROGRESO AUTOMÁTICO,AÑO BASE PROGRESO,ÚLTIMO AÑO,ÚLTIMO DATO,TARGET,LIMIT,SCORE,FECHA ÚLTIMA ACTUALIZACIÓN DATOS
1,Poner fin a la pobreza en todas sus formas y en todo el mundo,1.1,"De aquí a 2030, erradicar para todas las personas y en todo el mundo la pobreza extrema (actualmente se considera que sufren pobreza extrema las personas que viven con menos de 1,25 dólares de los Estados Unidos al día)",1.1.1,"Proporción de la población que vive por debajo del umbral internacional de pobreza, desglosada por sexo, edad, situación laboral y ubicación geográfica (urbana o rural)",Proporción de la población que vive por debajo del umbral internacional de la pobreza,,,complete,no,no,no,line,no,,no,no,no,2008,Bienal,no,descenso,si,2014,2022,0.17,0.1,,,
1,Poner fin a la pobreza en todas sus formas y en todo el mundo,1.2,"De aquí a 2030, reducir al menos a la mitad la proporción de hombres, mujeres y niños/as de todas las edades que viven en la pobreza en todas sus dimensiones con arreglo a las definiciones nacionales",1.2.1,"Proporción de la población que vive por debajo del umbral nacional de pobreza, desglosada por sexo y edad",Proporción de la población que vive por debajo del umbral de la pobreza desglosada por sexo,,,complete,no,no,no,line,no,indicator.relacionados,si,no,no,2008,Bienal,si,descenso,si,2014,2022,16.5,8.2,,,
1,Poner fin a la pobreza en todas sus formas y en todo el mundo,1.2,"De aquí a 2030, reducir al menos a la mitad la proporción de hombres, mujeres y niños/as de todas las edades que viven en la pobreza en todas sus dimensiones con arreglo a las definiciones nacionales",1.2.2,"Proporción de hombres, mujeres y niños/as de todas las edades que viven en la pobreza, en todas sus dimensiones, con arreglo a las definiciones nacionales",Tasa AROPE. Proporción de personas en riesgo de pobreza o exclusión social,,,complete,no,no,no,line,no,indicator.relacionados,si,no,no,2004,Bienal,si,descenso,si,2016,2024,20.6,20.5,,,
1,Poner fin a la pobreza en todas sus formas y en todo el mundo,1.3,"Implementar a nivel nacional sistemas y medidas apropiados de protección social para todos, incluidos niveles mínimos, y, de aquí a 2030, lograr una amplia cobertura de las personas pobres y vulnerables",1.3.1,"Proporción de la población cubierta por sistemas o niveles mínimos de protección social, desglosada por sexo, distinguiendo entre los niños/as, las personas desempleadas, los ancianos/as, las personas con discapacidad, las mujeres embarazadas, los recién nacidos/as, las víctimas de accidentes de trabajo, las personas pobres y las personas vulnerables","Proporción de la población cubierta por sistemas o niveles mínimos de protección social, desglosada por sexo, distinguiendo entre las personas desempleadas y la población que ha superado la edad legal de jubilación",SI_COV_UEMP,Proporción de personas desempleadas que reciben prestaciones por desempleo,complete,no,no,no,line,no,,si,si,no,2010,Anual,no,ascenso,si,2017,2025,84.1,,,,
1,Poner fin a la pobreza en todas sus formas y en todo el mundo,1.3,"Implementar a nivel nacional sistemas y medidas apropiados de protección social para todos, incluidos niveles mínimos, y, de aquí a 2030, lograr una amplia cobertura de las personas pobres y vulnerables",1.3.1,"Proporción de la población cubierta por sistemas o niveles mínimos de protección social, desglosada por sexo, distinguiendo entre los niños/as, las personas desempleadas, los ancianos/as, las personas con discapacidad, las mujeres embarazadas, los recién nacidos/as, las víctimas de accidentes de trabajo, las personas pobres y las personas vulnerables","Proporción de la población cubierta por sistemas o niveles mínimos de protección social, desglosada por sexo, distinguiendo entre las personas desempleadas y la población que ha superado la edad legal de jubilación",SI_COV_PENSN,Proporción de la población que supera la edad legal de jubilación y recibe una pensión,complete,no,no,no,line,no,,si,si,no,2010,Anual,no,ascenso,si,2015,2025,82.4,,,,
1,Poner fin a la pobreza en todas sus formas y en todo el mundo,1.4,"De aquí a 2030, garantizar que todos los hombres y mujeres, en particular los pobres y los vulnerables, tengan los mismos derechos a los recursos económicos y acceso a los servicios básicos, la propiedad y el control de la tierra y otros bienes, la herencia, los recursos naturales, las nuevas tecnologías apropiadas y los servicios financieros, incluida la microfinanciación",1.4.1,Proporción de la población que vive en hogares con acceso a los servicios básicos,Proporción de viviendas principales con acceso a servicios básicos (abastecimiento de agua corriente y baño),SP_ACS_BSRVH2O,Proporción de viviendas con agua corriente,complete,no,no,no,line,si,,no,si,si,2010,Anual,si,ascenso,si,2015,2023,99.9,99.9,,,
1,Poner fin a la pobreza en todas sus formas y en todo el mundo,1.4,"De aquí a 2030, garantizar que todos los hombres y mujeres, en particular los pobres y los vulnerables, tengan los mismos derechos a los recursos económicos y acceso a los servicios básicos, la propiedad y el control de la tierra y otros bienes, la herencia, los recursos naturales, las nuevas tecnologías apropiadas y los servicios financieros, incluida la microfinanciación",1.4.1,Proporción de la población que vive en hogares con acceso a los servicios básicos,Proporción de viviendas principales con acceso a servicios básicos (abastecimiento de agua corriente y baño),SP_ACS_BSRVSAN,Proporción de viviendas con baño,complete,no,no,no,line,si,,no,si,si,2010,Anual,si,ascenso,si,2015,2023,99.8,99.9,,,
1,Poner fin a la pobreza en todas sus formas y en todo el mundo,1.4,"De aquí a 2030, garantizar que todos los hombres y mujeres, en particular los pobres y los vulnerables, tengan los mismos derechos a los recursos económicos y acceso a los servicios básicos, la propiedad y el control de la tierra y otros bienes, la herencia, los recursos naturales, las nuevas tecnologías apropiadas y los servicios financieros, incluida la microfinanciación",1.4.2,"Proporción del total de la población adulta con derechos seguros de tenencia de la tierra: a) que posee documentación reconocida legalmente al respecto y b) considera seguros sus derechos, desglosada por sexo y tipo de tenencia",La CA de Euskadi no elabora estadísticas oficiales continuas con la metodología del indicador,,,notstarted,,,,,,,,,,,,,,,,,,,,,
1,Poner fin a la pobreza en todas sus formas y en todo el mundo,1.5,"De aquí a 2030, fomentar la resiliencia de los pobres y las personas que se encuentran en situaciones de vulnerabilidad y reducir su exposición y vulnerabilidad a los fenómenos extremos relacionados con el clima y otras perturbaciones y desastres económicos, sociales y ambientales",1.5.1,"Número de personas muertas, desaparecidas y afectadas directamente atribuido a desastres por cada 100.000 habitantes",Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,,,complete,no,no,no,line,si,,si,si,si,2010,Anual,si,descenso,si,2015,2024,0.18,,0.1,,
1,Poner fin a la pobreza en todas sus formas y en todo el mundo,1.5,"De aquí a 2030, fomentar la resiliencia de los pobres y las personas que se encuentran en situaciones de vulnerabilidad y reducir su exposición y vulnerabilidad a los fenómenos extremos relacionados con el clima y otras perturbaciones y desastres económicos, sociales y ambientales",1.5.2,Pérdidas económicas directas atribuidas a los desastres en relación con el producto interno bruto (PIB) mundial,"Indemnizaciones por daños personales, pérdidas pecuniarias y daños de bienes pagadas y/o provisionadas en proporción al PIB",,,complete,no,no,no,line,no,,no,si,no,2010,Anual,si,,no,,,,,,,
1,Poner fin a la pobreza en todas sus formas y en todo el mundo,1.5,"De aquí a 2030, fomentar la resiliencia de los pobres y las personas que se encuentran en situaciones de vulnerabilidad y reducir su exposición y vulnerabilidad a los fenómenos extremos relacionados con el clima y otras perturbaciones y desastres económicos, sociales y ambientales",1.5.3,Número de países que adoptan y aplican estrategias nacionales de reducción del riesgo de desastres en consonancia con el Marco de Sendái para la Reducción del Riesgo de Desastres 2015‑2030,La CA de Euskadi no elabora estadísticas oficiales continuas con la metodología del indicador,,,complete,no,no,si,line,no,,no,no,no,,,no,,no,,,,,,,
1,Poner fin a la pobreza en todas sus formas y en todo el mundo,1.5,"De aquí a 2030, fomentar la resiliencia de los pobres y las personas que se encuentran en situaciones de vulnerabilidad y reducir su exposición y vulnerabilidad a los fenómenos extremos relacionados con el clima y otras perturbaciones y desastres económicos, sociales y ambientales",1.5.4,Proporción de gobiernos locales que adoptan y aplican estrategias locales de reducción del riesgo de desastres en consonancia con las estrategias nacionales de reducción del riesgo de desastres,Proporción de gobiernos locales que adoptan e implementan estrategias locales de reducción del riesgo de desastres,SG_DSR_SILS,Proporción de municipios que disponen de un plan municipal de emergencias,complete,no,no,no,line,si,,no,si,si,2010,Anual,no,ascenso,si,2015,2024,35.32,,,,
1,Poner fin a la pobreza en todas sus formas y en todo el mundo,1.5,"De aquí a 2030, fomentar la resiliencia de los pobres y las personas que se encuentran en situaciones de vulnerabilidad y reducir su exposición y vulnerabilidad a los fenómenos extremos relacionados con el clima y otras perturbaciones y desastres económicos, sociales y ambientales",1.5.4,Proporción de gobiernos locales que adoptan y aplican estrategias locales de reducción del riesgo de desastres en consonancia con las estrategias nacionales de reducción del riesgo de desastres,Proporción de gobiernos locales que adoptan e implementan estrategias locales de reducción del riesgo de desastres,EU_DSR_SILS_TH,Proporción de municipios cubiertos por un plan de emergencias territorial,complete,no,no,no,line,si,,no,si,si,2010,Anual,no,ascenso,si,2015,2024,100.0,,100,,
1,Poner fin a la pobreza en todas sus formas y en todo el mundo,1.a,"Garantizar una movilización significativa de recursos procedentes de diversas fuentes, incluso mediante la mejora de la cooperación para el desarrollo, a fin de proporcionar medios suficientes y previsibles a los países en desarrollo, en particular los países menos adelantados, para que implementen programas y políticas encaminados a poner fin a la pobreza en todas sus dimensiones",1.a.1,Total de subvenciones de asistencia oficial para el desarrollo destinadas a la reducción de la pobreza en porcentaje de la renta nacional bruta del país beneficiario,La CA de Euskadi no elabora estadísticas oficiales continuas con la metodología del indicador,,,notapplicable,,,,,,,,,,,,,,,,,,,,,
1,Poner fin a la pobreza en todas sus formas y en todo el mundo,1.a,"Garantizar una movilización significativa de recursos procedentes de diversas fuentes, incluso mediante la mejora de la cooperación para el desarrollo, a fin de proporcionar medios suficientes y previsibles a los países en desarrollo, en particular los países menos adelantados, para que implementen programas y políticas encaminados a poner fin a la pobreza en todas sus dimensiones",1.a.2,"Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)","Proporción del gasto público total que se dedica a servicios esenciales (educación, salud y protección social)",,,complete,no,no,no,line,no,indicator.relacionados,no,no,no,2010,Anual,no,ascenso,si,2015,2023,70.3,,,,
1,Poner fin a la pobreza en todas sus formas y en todo el mundo,1.b,"Crear marcos normativos sólidos en los planos nacional, regional e internacional, sobre la base de estrategias de desarrollo en favor de los pobres que tengan en cuenta las cuestiones de género, a fin de apoyar la inversión acelerada en medidas para erradicar la pobreza",1.b.1,Gasto público social en favor de las personas pobres,La CA de Euskadi no elabora estadísticas oficiales continuas con la metodología del indicador,,,notstarted,,,,,,,,,,,,,,,,,,,,,
2,"Poner fin al hambre, lograr la seguridad alimentaria y la mejora de la nutrición y promover la agricultura sostenible",2.1,"De aquí a 2030, poner fin al hambre y asegurar el acceso de todas las personas, en particular los pobres y las personas en situaciones de vulnerabilidad, incluidos los niños y las niñas menores de 1 año, a una alimentación sana, nutritiva y suficiente durante todo el año",2.1.1,Prevalencia de la subalimentación,La CA de Euskadi no elabora estadísticas oficiales continuas con la metodología del indicador,,,complete,no,no,si,line,no,,no,no,no,,,no,,no,,,,,,,
2,"Poner fin al hambre, lograr la seguridad alimentaria y la mejora de la nutrición y promover la agricultura sostenible",2.1,"De aquí a 2030, poner fin al hambre y asegurar el acceso de todas las personas, en particular los pobres y las personas en situaciones de vulnerabilidad, incluidos los niños y las niñas menores de 1 año, a una alimentación sana, nutritiva y suficiente durante todo el año",2.1.2,"Prevalencia de la inseguridad alimentaria moderada o grave entre la población, según la escala de experiencia de inseguridad alimentaria",Prevalencia de la inseguridad alimentaria grave o muy grave,AG_PRD_FIESMS,Prevalencia de la inseguridad alimentaria grave o muy grave,complete,no,no,no,line,no,,no,no,no,2000,Bienal,no,descenso,si,2014,2024,7.9,0.1,,,
