Year,Territorio,Comarca,Municipio,Unidad,GeoCode,Value
2010,ES211,,,PER_1000_POP,ES211,9.4
2011,ES211,,,PER_1000_POP,ES211,7.3
2012,ES211,,,PER_1000_POP,ES211,7.1
2013,ES211,,,PER_1000_POP,ES211,5.6
2014,ES211,,,PER_1000_POP,ES211,3.9
2015,ES211,,,PER_1000_POP,ES211,1.5
2016,ES211,,,PER_1000_POP,ES211,1.3
2017,ES211,,,PER_1000_POP,ES211,1.3
2018,ES211,,,PER_1000_POP,ES211,1.2
2019,ES211,,,PER_1000_POP,ES211,0.4
2020,ES211,,,PER_1000_POP,ES211,0.5
2021,ES211,,,PER_1000_POP,ES211,0.3
2022,ES211,,,PER_1000_POP,ES211,0.7
2010,,,ES01001,PER_1000_POP,ES01001,0.0
2011,,,ES01001,PER_1000_POP,ES01001,0.0
2012,,,ES01001,PER_1000_POP,ES01001,0.0
2013,,,ES01001,PER_1000_POP,ES01001,0.0
2014,,,ES01001,PER_1000_POP,ES01001,0.0
2015,,,ES01001,PER_1000_POP,ES01001,0.0
2016,,,ES01001,PER_1000_POP,ES01001,0.0
2017,,,ES01001,PER_1000_POP,ES01001,0.0
2018,,,ES01001,PER_1000_POP,ES01001,0.0
2019,,,ES01001,PER_1000_POP,ES01001,0.0
2020,,,ES01001,PER_1000_POP,ES01001,0.0
2021,,,ES01001,PER_1000_POP,ES01001,0.0
2022,,,ES01001,PER_1000_POP,ES01001,0.0
2010,,,ES01002,PER_1000_POP,ES01002,5.0
2011,,,ES01002,PER_1000_POP,ES01002,5.0
2012,,,ES01002,PER_1000_POP,ES01002,5.0
2013,,,ES01002,PER_1000_POP,ES01002,0.0
2014,,,ES01002,PER_1000_POP,ES01002,0.0
2015,,,ES01002,PER_1000_POP,ES01002,0.0
2016,,,ES01002,PER_1000_POP,ES01002,0.0
2017,,,ES01002,PER_1000_POP,ES01002,0.0
2018,,,ES01002,PER_1000_POP,ES01002,0.0
2019,,,ES01002,PER_1000_POP,ES01002,0.0
2020,,,ES01002,PER_1000_POP,ES01002,0.0
2021,,,ES01002,PER_1000_POP,ES01002,0.0
2022,,,ES01002,PER_1000_POP,ES01002,0.0
2010,,,ES01003,PER_1000_POP,ES01003,0.0
2011,,,ES01003,PER_1000_POP,ES01003,0.0
2012,,,ES01003,PER_1000_POP,ES01003,0.0
2013,,,ES01003,PER_1000_POP,ES01003,0.0
2014,,,ES01003,PER_1000_POP,ES01003,0.0
2015,,,ES01003,PER_1000_POP,ES01003,0.0
2016,,,ES01003,PER_1000_POP,ES01003,0.0
2017,,,ES01003,PER_1000_POP,ES01003,0.0
2018,,,ES01003,PER_1000_POP,ES01003,0.0
2019,,,ES01003,PER_1000_POP,ES01003,0.0
2020,,,ES01003,PER_1000_POP,ES01003,0.0
2021,,,ES01003,PER_1000_POP,ES01003,0.0
2022,,,ES01003,PER_1000_POP,ES01003,0.0
2010,,,ES01004,PER_1000_POP,ES01004,0.0
2011,,,ES01004,PER_1000_POP,ES01004,0.0
2012,,,ES01004,PER_1000_POP,ES01004,0.0
2013,,,ES01004,PER_1000_POP,ES01004,0.0
2014,,,ES01004,PER_1000_POP,ES01004,0.0
2015,,,ES01004,PER_1000_POP,ES01004,0.0
2016,,,ES01004,PER_1000_POP,ES01004,0.0
2017,,,ES01004,PER_1000_POP,ES01004,0.0
2018,,,ES01004,PER_1000_POP,ES01004,0.0
2019,,,ES01004,PER_1000_POP,ES01004,0.0
2020,,,ES01004,PER_1000_POP,ES01004,0.0
2021,,,ES01004,PER_1000_POP,ES01004,0.0
2022,,,ES01004,PER_1000_POP,ES01004,0.0
2010,,,ES01006,PER_1000_POP,ES01006,0.0
2011,,,ES01006,PER_1000_POP,ES01006,0.0
2012,,,ES01006,PER_1000_POP,ES01006,0.0
2013,,,ES01006,PER_1000_POP,ES01006,0.0
2014,,,ES01006,PER_1000_POP,ES01006,0.0
2015,,,ES01006,PER_1000_POP,ES01006,0.0
2016,,,ES01006,PER_1000_POP,ES01006,0.0
2017,,,ES01006,PER_1000_POP,ES01006,0.0
2018,,,ES01006,PER_1000_POP,ES01006,0.0
2019,,,ES01006,PER_1000_POP,ES01006,0.0
2020,,,ES01006,PER_1000_POP,ES01006,0.0
2021,,,ES01006,PER_1000_POP,ES01006,0.0
2022,,,ES01006,PER_1000_POP,ES01006,0.0
2010,,,ES01008,PER_1000_POP,ES01008,0.0
2011,,,ES01008,PER_1000_POP,ES01008,0.0
2012,,,ES01008,PER_1000_POP,ES01008,0.0
2013,,,ES01008,PER_1000_POP,ES01008,0.0
2014,,,ES01008,PER_1000_POP,ES01008,0.0
2015,,,ES01008,PER_1000_POP,ES01008,0.0
2016,,,ES01008,PER_1000_POP,ES01008,0.0
2017,,,ES01008,PER_1000_POP,ES01008,0.0
2018,,,ES01008,PER_1000_POP,ES01008,0.0
2019,,,ES01008,PER_1000_POP,ES01008,0.0
2020,,,ES01008,PER_1000_POP,ES01008,0.0
2021,,,ES01008,PER_1000_POP,ES01008,0.0
2022,,,ES01008,PER_1000_POP,ES01008,0.0
2010,,,ES01009,PER_1000_POP,ES01009,0.0
2011,,,ES01009,PER_1000_POP,ES01009,0.0
2012,,,ES01009,PER_1000_POP,ES01009,0.0
2013,,,ES01009,PER_1000_POP,ES01009,0.0
2014,,,ES01009,PER_1000_POP,ES01009,0.0
2015,,,ES01009,PER_1000_POP,ES01009,0.0
2016,,,ES01009,PER_1000_POP,ES01009,0.0
2017,,,ES01009,PER_1000_POP,ES01009,0.0
2018,,,ES01009,PER_1000_POP,ES01009,0.0
2019,,,ES01009,PER_1000_POP,ES01009,0.0
2020,,,ES01009,PER_1000_POP,ES01009,0.0
2021,,,ES01009,PER_1000_POP,ES01009,0.0
2022,,,ES01009,PER_1000_POP,ES01009,0.0
2010,,ES0101,,PER_1000_POP,ES0101,0.7
2011,,ES0101,,PER_1000_POP,ES0101,0.0
2012,,ES0101,,PER_1000_POP,ES0101,0.0
2013,,ES0101,,PER_1000_POP,ES0101,0.0
2014,,ES0101,,PER_1000_POP,ES0101,0.0
