Year,ServEsencial,Units,Value
2014,,PT,70.0
2021,,PT,72.5
2020,,PT,72.0
2017,,PT,70.1
2015,,PT,70.3
2016,,PT,70.5
2018,,PT,71.0
2012,,PT,69.3
2019,,PT,71.2
2022,ESED,PT,10.6
2017,ESED,PT,10.9
2012,ESED,PT,11.1
2020,ESED,PT,10.2
2019,ESED,PT,10.7
2016,ESED,PT,11.0
2021,ESED,PT,10.5
2014,ESED,PT,10.9
2015,ESED,PT,11.0
2018,ESED,PT,10.8
2016,HLTH,PT,13.8
2017,HLTH,PT,13.8
2018,HLTH,PT,14.1
2019,HLTH,PT,14.1
2020,HLTH,PT,13.9
2021,HLTH,PT,14.7
2010,HLTH,PT,13.7
2015,HLTH,PT,13.8
2011,HLTH,PT,13.8
2012,HLTH,PT,13.7
2014,HLTH,PT,13.5
2013,HLTH,PT,13.6
2019,PROT,PT,46.4
2021,PROT,PT,47.3
2022,PROT,PT,46.4
2010,PROT,PT,40.3
2011,PROT,PT,42.0
2012,PROT,PT,44.5
2020,PROT,PT,47.9
2013,PROT,PT,46.0
2014,PROT,PT,45.6
2015,PROT,PT,45.5
2016,PROT,PT,45.7
2017,PROT,PT,45.3
2018,PROT,PT,46.1
