Year,Series,Territorio,Units,Value
2023,EU_EXP_RGI,,EUR,467682907.7
2023,EU_EXP_AES,,EUR,50169917.0
2020,EU_EXP_AES,,EUR,44411720.1
2021,EU_EXP_AES,,EUR,46360701.9
2020,EU_EXP_RGI,,EUR,449871225.6
2019,EU_EXP_RGI,,EUR,422486652.7
2021,EU_EXP_RGI,,EUR,426611597.6
2022,EU_EXP_RGI,,EUR,379621575.8
2022,EU_EXP_AES,,EUR,48425936.7
2020,EU_EXP_AES,ES211,EUR,8512672.3
2020,EU_EXP_RGI,ES211,EUR,75592140.0
2023,EU_EXP_AES,ES211,EUR,9479475.5
2023,EU_EXP_RGI,ES211,EUR,88337482.6
2021,EU_EXP_RGI,ES211,EUR,77158265.7
2019,EU_EXP_RGI,ES211,EUR,69038464.0
2021,EU_EXP_AES,ES211,EUR,9141230.9
2022,EU_EXP_AES,ES211,EUR,8383685.4
2022,EU_EXP_RGI,ES211,EUR,69717518.1
2020,EU_EXP_AES,ES213,EUR,23306648.3
2023,EU_EXP_RGI,ES213,EUR,272838252.8
2022,EU_EXP_AES,ES213,EUR,26243998.5
2019,EU_EXP_RGI,ES213,EUR,257869703.6
2021,EU_EXP_RGI,ES213,EUR,251246189.2
2022,EU_EXP_RGI,ES213,EUR,224539585.7
2020,EU_EXP_RGI,ES213,EUR,270461291.1
2021,EU_EXP_AES,ES213,EUR,24422424.1
2023,EU_EXP_AES,ES213,EUR,26586648.2
2020,EU_EXP_AES,ES212,EUR,12592399.5
2023,EU_EXP_RGI,ES212,EUR,106507172.2
2023,EU_EXP_AES,ES212,EUR,14103793.3
2022,EU_EXP_RGI,ES212,EUR,85364472.0
2021,EU_EXP_RGI,ES212,EUR,98207142.7
2021,EU_EXP_AES,ES212,EUR,12797046.9
2020,EU_EXP_RGI,ES212,EUR,103817794.5
2019,EU_EXP_RGI,ES212,EUR,95578485.1
2022,EU_EXP_AES,ES212,EUR,13798252.8
