Year,Actividad,Units,Value
2010,NFR_3,KG_PER_HA,19.6
2011,NFR_3,KG_PER_HA,18.6
2012,NFR_3,KG_PER_HA,19.2
2013,NFR_3,KG_PER_HA,18.6
2014,NFR_3,KG_PER_HA,19.3
2015,NFR_3,KG_PER_HA,19.1
2016,NFR_3,KG_PER_HA,19.2
2017,NFR_3,KG_PER_HA,19.2
2018,NFR_3,KG_PER_HA,18.2
2019,NFR_3,KG_PER_HA,18.4
2020,NFR_3,KG_PER_HA,18.5
2021,NFR_3,KG_PER_HA,18.1
2010,NFR_3,KT,4.3
2011,NFR_3,KT,4.1
2012,NFR_3,KT,4.2
2013,NFR_3,KT,4.1
2014,NFR_3,KT,4.3
2015,NFR_3,KT,4.2
2016,NFR_3,KT,4.2
2017,NFR_3,KT,4.3
2018,NFR_3,KT,4.0
2019,NFR_3,KT,4.1
2020,NFR_3,KT,4.1
2021,NFR_3,KT,4.0
2010,NFR_3B,KG_PER_HA,8.6
2011,NFR_3B,KG_PER_HA,8.3
2012,NFR_3B,KG_PER_HA,8.0
2013,NFR_3B,KG_PER_HA,6.6
2014,NFR_3B,KG_PER_HA,7.7
2015,NFR_3B,KG_PER_HA,7.5
2016,NFR_3B,KG_PER_HA,7.1
2017,NFR_3B,KG_PER_HA,6.9
2018,NFR_3B,KG_PER_HA,7.1
2019,NFR_3B,KG_PER_HA,6.9
2020,NFR_3B,KG_PER_HA,7.5
2021,NFR_3B,KG_PER_HA,7.3
2010,NFR_3B,KT,1.2
2011,NFR_3B,KT,1.2
2012,NFR_3B,KT,1.1
2013,NFR_3B,KT,0.9
2014,NFR_3B,KT,1.1
2015,NFR_3B,KT,1.0
2016,NFR_3B,KT,1.0
2017,NFR_3B,KT,1.0
2018,NFR_3B,KT,1.0
2019,NFR_3B,KT,0.9
2020,NFR_3B,KT,1.0
2021,NFR_3B,KT,1.0
2010,NFR_3DF,KG_PER_HA,38.1
2011,NFR_3DF,KG_PER_HA,36.3
2012,NFR_3DF,KG_PER_HA,38.3
2013,NFR_3DF,KG_PER_HA,39.1
2014,NFR_3DF,KG_PER_HA,38.9
2015,NFR_3DF,KG_PER_HA,38.7
2016,NFR_3DF,KG_PER_HA,39.4
2017,NFR_3DF,KG_PER_HA,40.2
2018,NFR_3DF,KG_PER_HA,37.0
2019,NFR_3DF,KG_PER_HA,37.0
2020,NFR_3DF,KG_PER_HA,36.1
2021,NFR_3DF,KG_PER_HA,35.2
2010,NFR_3DF,KT,3.1
2011,NFR_3DF,KT,3.0
2012,NFR_3DF,KT,3.1
2013,NFR_3DF,KT,3.2
2014,NFR_3DF,KT,3.2
2015,NFR_3DF,KT,3.2
2016,NFR_3DF,KT,3.3
2017,NFR_3DF,KT,3.3
2018,NFR_3DF,KT,3.0
2019,NFR_3DF,KT,3.1
2020,NFR_3DF,KT,3.1
2021,NFR_3DF,KT,3.0
