Year,Territorio,Comarca,Municipio,Units,GeoCode,Value
2010,ES211,,,PT,ES211,1.1
2011,ES211,,,PT,ES211,1.0
2012,ES211,,,PT,ES211,1.1
2013,ES211,,,PT,ES211,1.0
2014,ES211,,,PT,ES211,1.4
2015,ES211,,,PT,ES211,1.5
2016,ES211,,,PT,ES211,1.5
2017,ES211,,,PT,ES211,1.5
2018,ES211,,,PT,ES211,1.6
2019,ES211,,,PT,ES211,1.4
2020,ES211,,,PT,ES211,1.2
2021,ES211,,,PT,ES211,1.4
2022,ES211,,,PT,ES211,1.4
2014,,,ES01001,PT,ES01001,2.5
2015,,,ES01001,PT,ES01001,3.6
2016,,,ES01001,PT,ES01001,3.4
2017,,,ES01001,PT,ES01001,4.1
2018,,,ES01001,PT,ES01001,4.0
2019,,,ES01001,PT,ES01001,3.5
2020,,,ES01001,PT,ES01001,3.2
2014,,,ES01002,PT,ES01002,1.5
2015,,,ES01002,PT,ES01002,1.3
2016,,,ES01002,PT,ES01002,1.2
2017,,,ES01002,PT,ES01002,1.3
2018,,,ES01002,PT,ES01002,1.2
2019,,,ES01002,PT,ES01002,0.9
2020,,,ES01002,PT,ES01002,1.0
2014,,,ES01003,PT,ES01003,17.4
2015,,,ES01003,PT,ES01003,15.9
2016,,,ES01003,PT,ES01003,14.4
2017,,,ES01003,PT,ES01003,16.4
2018,,,ES01003,PT,ES01003,16.5
2019,,,ES01003,PT,ES01003,13.8
2020,,,ES01003,PT,ES01003,12.5
2014,,,ES01004,PT,ES01004,2.9
2015,,,ES01004,PT,ES01004,2.2
2016,,,ES01004,PT,ES01004,2.1
2017,,,ES01004,PT,ES01004,2.4
2018,,,ES01004,PT,ES01004,2.7
2019,,,ES01004,PT,ES01004,2.0
2020,,,ES01004,PT,ES01004,1.7
2014,,,ES01006,PT,ES01006,6.6
2015,,,ES01006,PT,ES01006,7.3
2016,,,ES01006,PT,ES01006,9.2
2017,,,ES01006,PT,ES01006,7.4
2018,,,ES01006,PT,ES01006,7.2
2019,,,ES01006,PT,ES01006,8.1
2020,,,ES01006,PT,ES01006,9.6
2014,,,ES01008,PT,ES01008,10.7
2015,,,ES01008,PT,ES01008,9.3
2016,,,ES01008,PT,ES01008,9.0
2017,,,ES01008,PT,ES01008,8.8
2018,,,ES01008,PT,ES01008,7.5
2019,,,ES01008,PT,ES01008,6.8
2020,,,ES01008,PT,ES01008,6.4
2014,,,ES01009,PT,ES01009,3.5
2015,,,ES01009,PT,ES01009,3.1
2016,,,ES01009,PT,ES01009,2.4
2017,,,ES01009,PT,ES01009,1.7
2018,,,ES01009,PT,ES01009,1.5
2019,,,ES01009,PT,ES01009,1.3
2020,,,ES01009,PT,ES01009,1.7
2014,,ES0101,,PT,ES0101,8.1
2015,,ES0101,,PT,ES0101,7.4
2016,,ES0101,,PT,ES0101,7.1
2017,,ES0101,,PT,ES0101,6.7
2018,,ES0101,,PT,ES0101,7.0
2019,,ES0101,,PT,ES0101,6.5
2020,,ES0101,,PT,ES0101,6.3
2014,,,ES01010,PT,ES01010,11.9
2015,,,ES01010,PT,ES01010,9.2
2016,,,ES01010,PT,ES01010,7.9
2017,,,ES01010,PT,ES01010,8.4
2018,,,ES01010,PT,ES01010,7.8
2019,,,ES01010,PT,ES01010,6.1
2020,,,ES01010,PT,ES01010,6.0
2014,,,ES01011,PT,ES01011,26.6
2015,,,ES01011,PT,ES01011,32.6
2016,,,ES01011,PT,ES01011,34.2
2017,,,ES01011,PT,ES01011,34.5
2018,,,ES01011,PT,ES01011,37.1
2019,,,ES01011,PT,ES01011,35.7
2020,,,ES01011,PT,ES01011,39.7
