Year,Sexo,Territorio,Units,Value
2010,F,,PER_100000_LIVE_BIRTHS,4.73
2013,F,,PER_100000_LIVE_BIRTHS,0.0
2018,F,,PER_100000_LIVE_BIRTHS,6.22
2016,F,,PER_100000_LIVE_BIRTHS,10.96
2023,F,,PER_100000_LIVE_BIRTHS,7.43
2019,F,,PER_100000_LIVE_BIRTHS,6.49
2014,F,,PER_100000_LIVE_BIRTHS,0.0
2022,F,,PER_100000_LIVE_BIRTHS,7.33
2012,F,,PER_100000_LIVE_BIRTHS,0.0
2021,F,,PER_100000_LIVE_BIRTHS,0.0
2011,F,,PER_100000_LIVE_BIRTHS,0.0
2017,F,,PER_100000_LIVE_BIRTHS,0.0
2015,F,,PER_100000_LIVE_BIRTHS,0.0
2020,F,,PER_100000_LIVE_BIRTHS,6.78
2023,F,ES211,PER_100000_LIVE_BIRTHS,0.0
2021,F,ES211,PER_100000_LIVE_BIRTHS,0.0
2017,F,ES211,PER_100000_LIVE_BIRTHS,0.0
2020,F,ES211,PER_100000_LIVE_BIRTHS,0.0
2015,F,ES211,PER_100000_LIVE_BIRTHS,0.0
2014,F,ES211,PER_100000_LIVE_BIRTHS,0.0
2013,F,ES211,PER_100000_LIVE_BIRTHS,0.0
2012,F,ES211,PER_100000_LIVE_BIRTHS,0.0
2022,F,ES211,PER_100000_LIVE_BIRTHS,0.0
2016,F,ES211,PER_100000_LIVE_BIRTHS,0.0
2011,F,ES211,PER_100000_LIVE_BIRTHS,0.0
2010,F,ES211,PER_100000_LIVE_BIRTHS,0.0
2019,F,ES211,PER_100000_LIVE_BIRTHS,0.0
2018,F,ES211,PER_100000_LIVE_BIRTHS,0.0
2020,F,ES213,PER_100000_LIVE_BIRTHS,13.66
2022,F,ES213,PER_100000_LIVE_BIRTHS,0.0
2021,F,ES213,PER_100000_LIVE_BIRTHS,0.0
2011,F,ES213,PER_100000_LIVE_BIRTHS,0.0
2010,F,ES213,PER_100000_LIVE_BIRTHS,9.44
2015,F,ES213,PER_100000_LIVE_BIRTHS,0.0
2012,F,ES213,PER_100000_LIVE_BIRTHS,0.0
2013,F,ES213,PER_100000_LIVE_BIRTHS,0.0
2019,F,ES213,PER_100000_LIVE_BIRTHS,0.0
2016,F,ES213,PER_100000_LIVE_BIRTHS,21.86
2018,F,ES213,PER_100000_LIVE_BIRTHS,12.59
2014,F,ES213,PER_100000_LIVE_BIRTHS,0.0
2017,F,ES213,PER_100000_LIVE_BIRTHS,0.0
2023,F,ES213,PER_100000_LIVE_BIRTHS,14.99
2010,F,ES212,PER_100000_LIVE_BIRTHS,0.0
2013,F,ES212,PER_100000_LIVE_BIRTHS,0.0
2012,F,ES212,PER_100000_LIVE_BIRTHS,0.0
2014,F,ES212,PER_100000_LIVE_BIRTHS,0.0
2017,F,ES212,PER_100000_LIVE_BIRTHS,0.0
2011,F,ES212,PER_100000_LIVE_BIRTHS,0.0
2016,F,ES212,PER_100000_LIVE_BIRTHS,0.0
2018,F,ES212,PER_100000_LIVE_BIRTHS,0.0
2023,F,ES212,PER_100000_LIVE_BIRTHS,0.0
2021,F,ES212,PER_100000_LIVE_BIRTHS,0.0
2020,F,ES212,PER_100000_LIVE_BIRTHS,0.0
2022,F,ES212,PER_100000_LIVE_BIRTHS,22.18
2015,F,ES212,PER_100000_LIVE_BIRTHS,0.0
2019,F,ES212,PER_100000_LIVE_BIRTHS,19.48
