Year,Sexo,Edad,Units,Value
2014,,Y18T24,PT,7.5
2010,,Y18T24,PT,10.8
2015,,Y18T24,PT,10.2
2013,,Y18T24,PT,8.5
2018,,Y18T24,PT,11.3
2011,,Y18T24,PT,9.0
2016,,Y18T24,PT,9.8
2012,,Y18T24,PT,7.8
2019,,Y18T24,PT,8.8
2017,,Y18T24,PT,9.5
2016,F,Y18T24,PT,10.0
2019,F,Y18T24,PT,8.0
2010,F,Y18T24,PT,8.9
2018,F,Y18T24,PT,9.7
2017,F,Y18T24,PT,8.7
2011,F,Y18T24,PT,9.3
2014,F,Y18T24,PT,6.8
2012,F,Y18T24,PT,7.2
2015,F,Y18T24,PT,7.3
2013,F,Y18T24,PT,8.2
2012,M,Y18T24,PT,8.2
2013,M,Y18T24,PT,8.8
2017,M,Y18T24,PT,10.3
2010,M,Y18T24,PT,12.5
2019,M,Y18T24,PT,9.6
2014,M,Y18T24,PT,8.2
2018,M,Y18T24,PT,12.8
2015,M,Y18T24,PT,13.0
2011,M,Y18T24,PT,8.7
2016,M,Y18T24,PT,9.6
