Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2021,EU_ELEC_GDP,,,,KG_OE_PER_GDP_TEUR,,18.2
2015,EU_ELEC_GDP,,,,KG_OE_PER_GDP_TEUR,,20.7
2019,EU_ELEC_GDP,,,,KG_OE_PER_GDP_TEUR,,17.8
2014,EU_ELEC_GDP,,,,KG_OE_PER_GDP_TEUR,,21.1
2011,EU_ELEC_GDP,,,,KG_OE_PER_GDP_TEUR,,22.9
2018,EU_ELEC_GDP,,,,KG_OE_PER_GDP_TEUR,,18.5
2022,EU_ELEC_GDP,,,,KG_OE_PER_GDP_TEUR,,16.9
2020,EU_ELEC_GDP,,,,KG_OE_PER_GDP_TEUR,,18.0
2012,EU_ELEC_GDP,,,,KG_OE_PER_GDP_TEUR,,21.7
2010,EU_ELEC_GDP,,,,KG_OE_PER_GDP_TEUR,,23.5
2013,EU_ELEC_GDP,,,,KG_OE_PER_GDP_TEUR,,21.7
2016,EU_ELEC_GDP,,,,KG_OE_PER_GDP_TEUR,,19.1
2017,EU_ELEC_GDP,,,,KG_OE_PER_GDP_TEUR,,19.0
2018,EU_ELEC_PC,,,,KW_PER_CAPITA_DAY,,6973.9
2021,EU_ELEC_PC,,,,KW_PER_CAPITA_DAY,,6549.3
2011,EU_ELEC_PC,,,,KW_PER_CAPITA_DAY,,7568.0
2010,EU_ELEC_PC,,,,KW_PER_CAPITA_DAY,,7783.8
2012,EU_ELEC_PC,,,,KW_PER_CAPITA_DAY,,7049.6
2022,EU_ELEC_PC,,,,KW_PER_CAPITA_DAY,,6378.3
2019,EU_ELEC_PC,,,,KW_PER_CAPITA_DAY,,6812.5
2017,EU_ELEC_PC,,,,KW_PER_CAPITA_DAY,,6940.4
2013,EU_ELEC_PC,,,,KW_PER_CAPITA_DAY,,6932.0
2016,EU_ELEC_PC,,,,KW_PER_CAPITA_DAY,,6809.1
2014,EU_ELEC_PC,,,,KW_PER_CAPITA_DAY,,7069.4
2020,EU_ELEC_PC,,,,KW_PER_CAPITA_DAY,,6235.8
2015,EU_ELEC_PC,,,,KW_PER_CAPITA_DAY,,7191.6
2012,EU_ELEC_PC,,,ES48001,KW_PER_CAPITA_DAY,ES48001,17099.7
2018,EU_ELEC_PC,,,ES48001,KW_PER_CAPITA_DAY,ES48001,20609.0
2020,EU_ELEC_PC,,,ES48001,KW_PER_CAPITA_DAY,ES48001,16656.6
