Year,Series,Sexo,Renta,Territorio,Comarca,Municipio,Units,GeoCode,Value
2015,EU_INCOME_AVG,,INCOME_TOT,,,,EUR,,19968.0
2013,EU_INCOME_AVG,,INCOME_TOT,,,,EUR,,19319.0
2009,EU_INCOME_AVG,,INCOME_TOT,,,,EUR,,19631.0
2016,EU_INCOME_AVG,,INCOME_TOT,,,,EUR,,20295.0
2020,EU_INCOME_AVG,,INCOME_TOT,,,,EUR,,22343.0
2018,EU_INCOME_AVG,,INCOME_TOT,,,,EUR,,21458.0
2014,EU_INCOME_AVG,,INCOME_TOT,,,,EUR,,19379.0
2019,EU_INCOME_AVG,,INCOME_TOT,,,,EUR,,22548.0
2017,EU_INCOME_AVG,,INCOME_TOT,,,,EUR,,21083.0
2021,EU_INCOME_AVG,,INCOME_TOT,,,,EUR,,23313.0
2011,EU_INCOME_AVG,,INCOME_TOT,,,,EUR,,19715.0
2015,EU_INCOME_AVG,,INCOME_TOT,,,ES48001,EUR,ES48001,20364.0
2020,EU_INCOME_AVG,,INCOME_TOT,,,ES48001,EUR,ES48001,23350.0
2016,EU_INCOME_AVG,,INCOME_TOT,,,ES48001,EUR,ES48001,20907.0
2011,EU_INCOME_AVG,,INCOME_TOT,,,ES48001,EUR,ES48001,19440.0
2018,EU_INCOME_AVG,,INCOME_TOT,,,ES48001,EUR,ES48001,21468.0
2009,EU_INCOME_AVG,,INCOME_TOT,,,ES48001,EUR,ES48001,19111.0
2014,EU_INCOME_AVG,,INCOME_TOT,,,ES48001,EUR,ES48001,19690.0
2017,EU_INCOME_AVG,,INCOME_TOT,,,ES48001,EUR,ES48001,21429.0
2021,EU_INCOME_AVG,,INCOME_TOT,,,ES48001,EUR,ES48001,22782.0
2013,EU_INCOME_AVG,,INCOME_TOT,,,ES48001,EUR,ES48001,19133.0
2019,EU_INCOME_AVG,,INCOME_TOT,,,ES48001,EUR,ES48001,22558.0
2018,EU_INCOME_AVG,,INCOME_TOT,,,ES20001,EUR,ES20001,24382.0
2020,EU_INCOME_AVG,,INCOME_TOT,,,ES20001,EUR,ES20001,31985.0
2009,EU_INCOME_AVG,,INCOME_TOT,,,ES20001,EUR,ES20001,20451.0
2011,EU_INCOME_AVG,,INCOME_TOT,,,ES20001,EUR,ES20001,23782.0
2019,EU_INCOME_AVG,,INCOME_TOT,,,ES20001,EUR,ES20001,25290.0
2013,EU_INCOME_AVG,,INCOME_TOT,,,ES20001,EUR,ES20001,21723.0
2021,EU_INCOME_AVG,,INCOME_TOT,,,ES20001,EUR,ES20001,25319.0
2015,EU_INCOME_AVG,,INCOME_TOT,,,ES20001,EUR,ES20001,19835.0
2016,EU_INCOME_AVG,,INCOME_TOT,,,ES20001,EUR,ES20001,20460.0
2014,EU_INCOME_AVG,,INCOME_TOT,,,ES20001,EUR,ES20001,21637.0
2017,EU_INCOME_AVG,,INCOME_TOT,,,ES20001,EUR,ES20001,34346.0
2020,EU_INCOME_AVG,,INCOME_TOT,,,ES48002,EUR,ES48002,19493.0
2016,EU_INCOME_AVG,,INCOME_TOT,,,ES48002,EUR,ES48002,17514.0
2014,EU_INCOME_AVG,,INCOME_TOT,,,ES48002,EUR,ES48002,16727.0
2011,EU_INCOME_AVG,,INCOME_TOT,,,ES48002,EUR,ES48002,16916.0
2021,EU_INCOME_AVG,,INCOME_TOT,,,ES48002,EUR,ES48002,20371.0
2018,EU_INCOME_AVG,,INCOME_TOT,,,ES48002,EUR,ES48002,18586.0
2019,EU_INCOME_AVG,,INCOME_TOT,,,ES48002,EUR,ES48002,19637.0
2017,EU_INCOME_AVG,,INCOME_TOT,,,ES48002,EUR,ES48002,17978.0
2015,EU_INCOME_AVG,,INCOME_TOT,,,ES48002,EUR,ES48002,17186.0
2009,EU_INCOME_AVG,,INCOME_TOT,,,ES48002,EUR,ES48002,17109.0
2013,EU_INCOME_AVG,,INCOME_TOT,,,ES48002,EUR,ES48002,16599.0
2013,EU_INCOME_AVG,,INCOME_TOT,,,ES20002,EUR,ES20002,20580.0
2015,EU_INCOME_AVG,,INCOME_TOT,,,ES20002,EUR,ES20002,22596.0
2018,EU_INCOME_AVG,,INCOME_TOT,,,ES20002,EUR,ES20002,25744.0
2019,EU_INCOME_AVG,,INCOME_TOT,,,ES20002,EUR,ES20002,27058.0
2020,EU_INCOME_AVG,,INCOME_TOT,,,ES20002,EUR,ES20002,25526.0
2014,EU_INCOME_AVG,,INCOME_TOT,,,ES20002,EUR,ES20002,21538.0
2011,EU_INCOME_AVG,,INCOME_TOT,,,ES20002,EUR,ES20002,21585.0
2016,EU_INCOME_AVG,,INCOME_TOT,,,ES20002,EUR,ES20002,22624.0
2009,EU_INCOME_AVG,,INCOME_TOT,,,ES20002,EUR,ES20002,21279.0
2017,EU_INCOME_AVG,,INCOME_TOT,,,ES20002,EUR,ES20002,26051.0
2021,EU_INCOME_AVG,,INCOME_TOT,,,ES20002,EUR,ES20002,25457.0
2015,EU_INCOME_AVG,,INCOME_TOT,,,ES01051,EUR,ES01051,17508.0
2017,EU_INCOME_AVG,,INCOME_TOT,,,ES01051,EUR,ES01051,18324.0
2019,EU_INCOME_AVG,,INCOME_TOT,,,ES01051,EUR,ES01051,19354.0
2018,EU_INCOME_AVG,,INCOME_TOT,,,ES01051,EUR,ES01051,18355.0
2016,EU_INCOME_AVG,,INCOME_TOT,,,ES01051,EUR,ES01051,17689.0
2014,EU_INCOME_AVG,,INCOME_TOT,,,ES01051,EUR,ES01051,16969.0
2011,EU_INCOME_AVG,,INCOME_TOT,,,ES01051,EUR,ES01051,17966.0
2009,EU_INCOME_AVG,,INCOME_TOT,,,ES01051,EUR,ES01051,17519.0
2021,EU_INCOME_AVG,,INCOME_TOT,,,ES01051,EUR,ES01051,19701.0
2013,EU_INCOME_AVG,,INCOME_TOT,,,ES01051,EUR,ES01051,16969.0
2020,EU_INCOME_AVG,,INCOME_TOT,,,ES01051,EUR,ES01051,19590.0
2015,EU_INCOME_AVG,,INCOME_TOT,,,ES20016,EUR,ES20016,18886.0
2014,EU_INCOME_AVG,,INCOME_TOT,,,ES20016,EUR,ES20016,18209.0
2011,EU_INCOME_AVG,,INCOME_TOT,,,ES20016,EUR,ES20016,18226.0
2020,EU_INCOME_AVG,,INCOME_TOT,,,ES20016,EUR,ES20016,22314.0
2018,EU_INCOME_AVG,,INCOME_TOT,,,ES20016,EUR,ES20016,20524.0
2019,EU_INCOME_AVG,,INCOME_TOT,,,ES20016,EUR,ES20016,21367.0
2017,EU_INCOME_AVG,,INCOME_TOT,,,ES20016,EUR,ES20016,20387.0
2016,EU_INCOME_AVG,,INCOME_TOT,,,ES20016,EUR,ES20016,19844.0
2009,EU_INCOME_AVG,,INCOME_TOT,,,ES20016,EUR,ES20016,17876.0
2013,EU_INCOME_AVG,,INCOME_TOT,,,ES20016,EUR,ES20016,18293.0
2021,EU_INCOME_AVG,,INCOME_TOT,,,ES20016,EUR,ES20016,22975.0
2009,EU_INCOME_AVG,,INCOME_TOT,,,ES20003,EUR,ES20003,20093.0
2013,EU_INCOME_AVG,,INCOME_TOT,,,ES20003,EUR,ES20003,17216.0
2011,EU_INCOME_AVG,,INCOME_TOT,,,ES20003,EUR,ES20003,18723.0
2017,EU_INCOME_AVG,,INCOME_TOT,,,ES20003,EUR,ES20003,21021.0
2016,EU_INCOME_AVG,,INCOME_TOT,,,ES20003,EUR,ES20003,20430.0
2015,EU_INCOME_AVG,,INCOME_TOT,,,ES20003,EUR,ES20003,19607.0
2014,EU_INCOME_AVG,,INCOME_TOT,,,ES20003,EUR,ES20003,17957.0
2019,EU_INCOME_AVG,,INCOME_TOT,,,ES20003,EUR,ES20003,22932.0
2018,EU_INCOME_AVG,,INCOME_TOT,,,ES20003,EUR,ES20003,21318.0
2021,EU_INCOME_AVG,,INCOME_TOT,,,ES20003,EUR,ES20003,22777.0
2020,EU_INCOME_AVG,,INCOME_TOT,,,ES20003,EUR,ES20003,22277.0
2021,EU_INCOME_AVG,,INCOME_TOT,,,ES48911,EUR,ES48911,24883.0
2015,EU_INCOME_AVG,,INCOME_TOT,,,ES48911,EUR,ES48911,23299.0
2011,EU_INCOME_AVG,,INCOME_TOT,,,ES48911,EUR,ES48911,22278.0
2009,EU_INCOME_AVG,,INCOME_TOT,,,ES48911,EUR,ES48911,20486.0
2017,EU_INCOME_AVG,,INCOME_TOT,,,ES48911,EUR,ES48911,25075.0
2018,EU_INCOME_AVG,,INCOME_TOT,,,ES48911,EUR,ES48911,25017.0
2019,EU_INCOME_AVG,,INCOME_TOT,,,ES48911,EUR,ES48911,25837.0
2016,EU_INCOME_AVG,,INCOME_TOT,,,ES48911,EUR,ES48911,23604.0
2013,EU_INCOME_AVG,,INCOME_TOT,,,ES48911,EUR,ES48911,22470.0
2020,EU_INCOME_AVG,,INCOME_TOT,,,ES48911,EUR,ES48911,23857.0
2014,EU_INCOME_AVG,,INCOME_TOT,,,ES48911,EUR,ES48911,22358.0
2016,EU_INCOME_AVG,,INCOME_TOT,,,ES20004,EUR,ES20004,23047.0
2009,EU_INCOME_AVG,,INCOME_TOT,,,ES20004,EUR,ES20004,21531.0
2018,EU_INCOME_AVG,,INCOME_TOT,,,ES20004,EUR,ES20004,24053.0
2015,EU_INCOME_AVG,,INCOME_TOT,,,ES20004,EUR,ES20004,21543.0
2019,EU_INCOME_AVG,,INCOME_TOT,,,ES20004,EUR,ES20004,26754.0
2017,EU_INCOME_AVG,,INCOME_TOT,,,ES20004,EUR,ES20004,24887.0
2011,EU_INCOME_AVG,,INCOME_TOT,,,ES20004,EUR,ES20004,21837.0
2021,EU_INCOME_AVG,,INCOME_TOT,,,ES20004,EUR,ES20004,25471.0
2013,EU_INCOME_AVG,,INCOME_TOT,,,ES20004,EUR,ES20004,21670.0
2020,EU_INCOME_AVG,,INCOME_TOT,,,ES20004,EUR,ES20004,24548.0
2014,EU_INCOME_AVG,,INCOME_TOT,,,ES20004,EUR,ES20004,22338.0
2019,EU_INCOME_AVG,,INCOME_TOT,,,ES20005,EUR,ES20005,20191.0
2009,EU_INCOME_AVG,,INCOME_TOT,,,ES20005,EUR,ES20005,17408.0
2018,EU_INCOME_AVG,,INCOME_TOT,,,ES20005,EUR,ES20005,20021.0
2014,EU_INCOME_AVG,,INCOME_TOT,,,ES20005,EUR,ES20005,17586.0
2020,EU_INCOME_AVG,,INCOME_TOT,,,ES20005,EUR,ES20005,21086.0
2021,EU_INCOME_AVG,,INCOME_TOT,,,ES20005,EUR,ES20005,21456.0
2011,EU_INCOME_AVG,,INCOME_TOT,,,ES20005,EUR,ES20005,18185.0
2013,EU_INCOME_AVG,,INCOME_TOT,,,ES20005,EUR,ES20005,17846.0
2016,EU_INCOME_AVG,,INCOME_TOT,,,ES20005,EUR,ES20005,18664.0
2015,EU_INCOME_AVG,,INCOME_TOT,,,ES20005,EUR,ES20005,18532.0
2017,EU_INCOME_AVG,,INCOME_TOT,,,ES20005,EUR,ES20005,19936.0
2013,EU_INCOME_AVG,,INCOME_TOT,,,ES01001,EUR,ES01001,19743.0
2019,EU_INCOME_AVG,,INCOME_TOT,,,ES01001,EUR,ES01001,22064.0
2017,EU_INCOME_AVG,,INCOME_TOT,,,ES01001,EUR,ES01001,21043.0
2015,EU_INCOME_AVG,,INCOME_TOT,,,ES01001,EUR,ES01001,20537.0
2014,EU_INCOME_AVG,,INCOME_TOT,,,ES01001,EUR,ES01001,20228.0
2021,EU_INCOME_AVG,,INCOME_TOT,,,ES01001,EUR,ES01001,22275.0
2016,EU_INCOME_AVG,,INCOME_TOT,,,ES01001,EUR,ES01001,20843.0
2020,EU_INCOME_AVG,,INCOME_TOT,,,ES01001,EUR,ES01001,21459.0
2018,EU_INCOME_AVG,,INCOME_TOT,,,ES01001,EUR,ES01001,21047.0
2011,EU_INCOME_AVG,,INCOME_TOT,,,ES01001,EUR,ES01001,20976.0
2009,EU_INCOME_AVG,,INCOME_TOT,,,ES01001,EUR,ES01001,20837.0
2020,EU_INCOME_AVG,,INCOME_TOT,,,ES20006,EUR,ES20006,23107.0
2011,EU_INCOME_AVG,,INCOME_TOT,,,ES20006,EUR,ES20006,19064.0
2021,EU_INCOME_AVG,,INCOME_TOT,,,ES20006,EUR,ES20006,23176.0
2017,EU_INCOME_AVG,,INCOME_TOT,,,ES20006,EUR,ES20006,21764.0
2016,EU_INCOME_AVG,,INCOME_TOT,,,ES20006,EUR,ES20006,21566.0
2009,EU_INCOME_AVG,,INCOME_TOT,,,ES20006,EUR,ES20006,19380.0
2018,EU_INCOME_AVG,,INCOME_TOT,,,ES20006,EUR,ES20006,22476.0
2013,EU_INCOME_AVG,,INCOME_TOT,,,ES20006,EUR,ES20006,20020.0
2015,EU_INCOME_AVG,,INCOME_TOT,,,ES20006,EUR,ES20006,21694.0
