Year,Series,Territorio,Units,Value
2010,NV_IND_MANF,ES211,PT,24.9
2011,NV_IND_MANF,ES211,PT,25.9
2012,NV_IND_MANF,ES211,PT,25.1
2013,NV_IND_MANF,ES211,PT,25.7
2014,NV_IND_MANF,ES211,PT,26.1
2015,NV_IND_MANF,ES211,PT,26.2
2016,NV_IND_MANF,ES211,PT,26.2
2017,NV_IND_MANF,ES211,PT,26.4
2018,NV_IND_MANF,ES211,PT,25.8
2019,NV_IND_MANF,ES211,PT,25.0
2020,NV_IND_MANF,ES211,PT,23.9
2021,NV_IND_MANF,ES211,PT,24.3
2022,NV_IND_MANF,ES211,PT,24.1
2023,NV_IND_MANF,ES211,PT,24.7
2010,NV_IND_MANF,ES212,PT,22.6
2011,NV_IND_MANF,ES212,PT,23.3
2012,NV_IND_MANF,ES212,PT,22.8
2013,NV_IND_MANF,ES212,PT,22.2
2014,NV_IND_MANF,ES212,PT,22.2
2015,NV_IND_MANF,ES212,PT,22.6
2016,NV_IND_MANF,ES212,PT,22.7
2017,NV_IND_MANF,ES212,PT,22.4
2018,NV_IND_MANF,ES212,PT,22.4
2019,NV_IND_MANF,ES212,PT,22.2
2020,NV_IND_MANF,ES212,PT,21.9
2021,NV_IND_MANF,ES212,PT,22.8
2022,NV_IND_MANF,ES212,PT,22.9
2023,NV_IND_MANF,ES212,PT,22.6
2010,NV_IND_MANF,ES213,PT,17.1
2011,NV_IND_MANF,ES213,PT,17.2
2012,NV_IND_MANF,ES213,PT,16.2
2013,NV_IND_MANF,ES213,PT,16.2
2014,NV_IND_MANF,ES213,PT,16.5
2015,NV_IND_MANF,ES213,PT,16.5
2016,NV_IND_MANF,ES213,PT,16.8
2017,NV_IND_MANF,ES213,PT,16.9
2018,NV_IND_MANF,ES213,PT,16.5
2019,NV_IND_MANF,ES213,PT,16.5
2020,NV_IND_MANF,ES213,PT,15.6
2021,NV_IND_MANF,ES213,PT,15.8
2022,NV_IND_MANF,ES213,PT,15.5
2023,NV_IND_MANF,ES213,PT,14.8
2010,NV_IND_MANF,,PT,20.2
2011,NV_IND_MANF,,PT,20.6
2012,NV_IND_MANF,,PT,19.9
2013,NV_IND_MANF,,PT,19.8
2014,NV_IND_MANF,,PT,19.9
2015,NV_IND_MANF,,PT,20.1
2016,NV_IND_MANF,,PT,20.3
2017,NV_IND_MANF,,PT,20.3
2018,NV_IND_MANF,,PT,20.0
2019,NV_IND_MANF,,PT,19.8
2020,NV_IND_MANF,,PT,19.0
2021,NV_IND_MANF,,PT,19.5
2022,NV_IND_MANF,,PT,19.3
2023,NV_IND_MANF,,PT,18.9
2010,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,9762.1
2011,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,10171.3
2012,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,9513.0
2013,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,9604.8
2014,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,9965.7
2015,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,10233.1
2016,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,10525.6
2017,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,10776.1
2018,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,10711.8
2019,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,10517.7
2020,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,8926.4
2021,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,9752.7
2022,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,10030.6
2023,NV_IND_MANFPC,ES211,EUR_PER_CAPITA,10214.6
2010,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,8133.4
2011,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,8360.2
2012,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,8025.3
2013,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,7633.4
2014,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,7751.0
2015,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,8127.7
2016,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,8448.0
2017,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,8536.3
2018,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,8850.2
2019,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,8960.9
2020,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,7903.5
2021,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,8755.2
2022,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,9195.3
2023,NV_IND_MANFPC,ES212,EUR_PER_CAPITA,9314.2
2010,NV_IND_MANFPC,ES213,EUR_PER_CAPITA,5661.7
2011,NV_IND_MANFPC,ES213,EUR_PER_CAPITA,5697.7
2012,NV_IND_MANFPC,ES213,EUR_PER_CAPITA,5238.4
2013,NV_IND_MANFPC,ES213,EUR_PER_CAPITA,5163.2
2014,NV_IND_MANFPC,ES213,EUR_PER_CAPITA,5347.8
2015,NV_IND_MANFPC,ES213,EUR_PER_CAPITA,5521.0
2016,NV_IND_MANFPC,ES213,EUR_PER_CAPITA,5836.0
2017,NV_IND_MANFPC,ES213,EUR_PER_CAPITA,6023.9
2018,NV_IND_MANFPC,ES213,EUR_PER_CAPITA,6037.5
2019,NV_IND_MANFPC,ES213,EUR_PER_CAPITA,6152.8
2020,NV_IND_MANFPC,ES213,EUR_PER_CAPITA,5293.9
2021,NV_IND_MANFPC,ES213,EUR_PER_CAPITA,5702.2
2022,NV_IND_MANFPC,ES213,EUR_PER_CAPITA,5994.9
2023,NV_IND_MANFPC,ES213,EUR_PER_CAPITA,5826.4
2010,NV_IND_MANFPC,,EUR_PER_CAPITA,7041.9
2011,NV_IND_MANFPC,,EUR_PER_CAPITA,7203.1
2012,NV_IND_MANFPC,,EUR_PER_CAPITA,6768.8
