Year,Sexo,Edad,Umbral,Ingreso,Territorio,Units,Value
2018,M,Y_GE16,AUT,,ES211,PT,11.9
2020,M,Y_GE16,AUT,,ES211,PT,16.2
2022,M,Y_GE16,AUT,,ES211,PT,12.7
2018,F,Y_GE16,AUT,,ES211,PT,17.1
2020,F,Y_GE16,AUT,,ES211,PT,18.9
2022,F,Y_GE16,AUT,,ES211,PT,15.4
2018,_T,Y_GE16,AUT,,ES211,PT,14.6
2020,_T,Y_GE16,AUT,,ES211,PT,17.6
2022,_T,Y_GE16,AUT,,ES211,PT,14.1
2018,M,Y_GE16,AUT,,ES212,PT,10.4
2020,M,Y_GE16,AUT,,ES212,PT,13.3
2022,M,Y_GE16,AUT,,ES212,PT,12.0
2018,F,Y_GE16,AUT,,ES212,PT,13.9
2020,F,Y_GE16,AUT,,ES212,PT,16.2
2022,F,Y_GE16,AUT,,ES212,PT,13.4
2018,_T,Y_GE16,AUT,,ES212,PT,12.2
2020,_T,Y_GE16,AUT,,ES212,PT,14.8
2022,_T,Y_GE16,AUT,,ES212,PT,12.7
2018,M,Y_GE16,AUT,,ES213,PT,18.0
2020,M,Y_GE16,AUT,,ES213,PT,15.7
2022,M,Y_GE16,AUT,,ES213,PT,16.3
2018,F,Y_GE16,AUT,,ES213,PT,21.7
2020,F,Y_GE16,AUT,,ES213,PT,17.4
2022,F,Y_GE16,AUT,,ES213,PT,18.7
2018,_T,Y_GE16,AUT,,ES213,PT,19.9
2020,_T,Y_GE16,AUT,,ES213,PT,17.4
2022,_T,Y_GE16,AUT,,ES213,PT,17.5
2008,M,Y_GE16,AUT,,,PT,11.7
2012,M,Y_GE16,AUT,,,PT,13.6
2014,M,Y_GE16,AUT,,,PT,16.0
2016,M,Y_GE16,AUT,,,PT,14.1
2018,M,Y_GE16,AUT,,,PT,14.6
2020,M,Y_GE16,AUT,,,PT,15.0
2022,M,Y_GE16,AUT,,,PT,14.3
2008,F,Y_GE16,AUT,,,PT,16.6
2012,F,Y_GE16,AUT,,,PT,16.9
2014,F,Y_GE16,AUT,,,PT,18.4
2016,F,Y_GE16,AUT,,,PT,16.8
2018,F,Y_GE16,AUT,,,PT,18.4
2020,F,Y_GE16,AUT,,,PT,18.0
2022,F,Y_GE16,AUT,,,PT,16.5
2008,_T,Y_GE16,AUT,,,PT,14.3
2012,_T,Y_GE16,AUT,,,PT,15.3
2014,_T,Y_GE16,AUT,,,PT,17.3
2016,_T,Y_GE16,AUT,,,PT,15.5
2018,_T,Y_GE16,AUT,,,PT,16.6
2020,_T,Y_GE16,AUT,,,PT,16.5
2022,_T,Y_GE16,AUT,,,PT,15.5
2008,_T,_T,AUT,IMP_RENT,,PT,10.3
2012,_T,_T,AUT,IMP_RENT,,PT,12.5
2016,_T,_T,AUT,IMP_RENT,,PT,14.3
2020,_T,_T,AUT,IMP_RENT,,PT,16.4
2008,_T,_T,AUT,,,PT,14.8
2012,_T,_T,AUT,,,PT,15.4
2014,_T,_T,AUT,,,PT,18.5
2016,_T,_T,AUT,,,PT,16.4
2018,_T,_T,AUT,,,PT,17.7
2020,_T,_T,AUT,,,PT,17.8
2022,_T,_T,AUT,,,PT,16.5
2008,_T,_T,NAC,IMP_RENT,,PT,4.5
2012,_T,_T,NAC,IMP_RENT,,PT,7.1
2016,_T,_T,NAC,IMP_RENT,,PT,7.7
2020,_T,_T,NAC,IMP_RENT,,PT,8.6
2008,_T,_T,NAC,,,PT,8.8
2012,_T,_T,NAC,,,PT,8.8
2014,_T,_T,NAC,,,PT,10.3
2016,_T,_T,NAC,,,PT,9.0
2018,_T,_T,NAC,,,PT,10.2
2020,_T,_T,NAC,,,PT,9.8
2022,_T,_T,NAC,,,PT,10.6
