Year,Territorio,Comarca,Municipio,Unidad,GeoCode,Value
2022,ES211,,,EUR,ES211,1371.5
2023,ES211,,,EUR,ES211,1505.6
2022,,,ES01001,EUR,ES01001,1282.5
2023,,,ES01001,EUR,ES01001,1407.9
2022,,,ES01002,EUR,ES01002,1444.6
2023,,,ES01002,EUR,ES01002,1575.7
2022,,,ES01003,EUR,ES01003,1090.6
2023,,,ES01003,EUR,ES01003,1220.8
2022,,,ES01004,EUR,ES01004,1465.8
2023,,,ES01004,EUR,ES01004,1606.9
2022,,,ES01006,EUR,ES01006,1046.1
2023,,,ES01006,EUR,ES01006,1176.0
2022,,,ES01008,EUR,ES01008,1302.7
2023,,,ES01008,EUR,ES01008,1442.1
2022,,,ES01009,EUR,ES01009,1253.7
2023,,,ES01009,EUR,ES01009,1410.8
2022,,ES0101,,EUR,ES0101,1088.5
2023,,ES0101,,EUR,ES0101,1220.0
2022,,,ES01010,EUR,ES01010,1269.8
2023,,,ES01010,EUR,ES01010,1391.2
2022,,,ES01011,EUR,ES01011,710.7
2023,,,ES01011,EUR,ES01011,759.7
2022,,,ES01013,EUR,ES01013,1035.5
2023,,,ES01013,EUR,ES01013,1169.8
2022,,,ES01014,EUR,ES01014,1001.8
2023,,,ES01014,EUR,ES01014,1099.0
2022,,,ES01016,EUR,ES01016,874.8
2023,,,ES01016,EUR,ES01016,970.3
2022,,,ES01017,EUR,ES01017,1005.0
2023,,,ES01017,EUR,ES01017,1112.0
2022,,,ES01018,EUR,ES01018,1480.4
2023,,,ES01018,EUR,ES01018,1614.4
2022,,,ES01019,EUR,ES01019,851.1
2023,,,ES01019,EUR,ES01019,965.2
2022,,ES0102,,EUR,ES0102,1391.2
2023,,ES0102,,EUR,ES0102,1527.1
2022,,,ES01020,EUR,ES01020,1085.8
2023,,,ES01020,EUR,ES01020,1224.6
2022,,,ES01021,EUR,ES01021,1431.9
2023,,,ES01021,EUR,ES01021,1523.0
2022,,,ES01022,EUR,ES01022,1245.8
2023,,,ES01022,EUR,ES01022,1358.2
2022,,,ES01023,EUR,ES01023,686.9
2023,,,ES01023,EUR,ES01023,763.7
2022,,,ES01027,EUR,ES01027,877.3
2023,,,ES01027,EUR,ES01027,1004.9
2022,,,ES01028,EUR,ES01028,1109.9
2023,,,ES01028,EUR,ES01028,1221.0
2022,,ES0103,,EUR,ES0103,941.7
2023,,ES0103,,EUR,ES0103,1043.9
2022,,,ES01030,EUR,ES01030,886.6
2023,,,ES01030,EUR,ES01030,983.4
2022,,,ES01031,EUR,ES01031,1062.5
2023,,,ES01031,EUR,ES01031,1163.3
2022,,,ES01032,EUR,ES01032,841.2
2023,,,ES01032,EUR,ES01032,919.1
2022,,,ES01033,EUR,ES01033,906.5
2023,,,ES01033,EUR,ES01033,1027.3
2022,,,ES01034,EUR,ES01034,1148.3
2023,,,ES01034,EUR,ES01034,1270.3
2022,,,ES01036,EUR,ES01036,1460.3
2023,,,ES01036,EUR,ES01036,1590.8
2022,,,ES01037,EUR,ES01037,1037.1
2023,,,ES01037,EUR,ES01037,1141.6
2022,,,ES01039,EUR,ES01039,1045.7
2023,,,ES01039,EUR,ES01039,1115.6
2022,,ES0104,,EUR,ES0104,993.2
2023,,ES0104,,EUR,ES0104,1096.0
2022,,,ES01041,EUR,ES01041,709.5
2023,,,ES01041,EUR,ES01041,783.8
2022,,,ES01042,EUR,ES01042,1199.9
2023,,,ES01042,EUR,ES01042,1343.4
2022,,,ES01043,EUR,ES01043,1050.7
2023,,,ES01043,EUR,ES01043,1153.5
2022,,,ES01044,EUR,ES01044,850.4
2023,,,ES01044,EUR,ES01044,950.8
2022,,,ES01046,EUR,ES01046,1095.8
2023,,,ES01046,EUR,ES01046,1202.5
2022,,,ES01047,EUR,ES01047,1299.2
2023,,,ES01047,EUR,ES01047,1472.3
2022,,,ES01049,EUR,ES01049,1019.1
2023,,,ES01049,EUR,ES01049,1131.4
2022,,ES0105,,EUR,ES0105,1329.5
2023,,ES0105,,EUR,ES0105,1471.6
2022,,,ES01051,EUR,ES01051,1220.6
2023,,,ES01051,EUR,ES01051,1354.4
2022,,,ES01052,EUR,ES01052,784.0
2023,,,ES01052,EUR,ES01052,875.2
2022,,,ES01053,EUR,ES01053,1039.7
2023,,,ES01053,EUR,ES01053,1140.7
2022,,,ES01054,EUR,ES01054,1216.0
2023,,,ES01054,EUR,ES01054,1323.9
2022,,,ES01055,EUR,ES01055,995.9
2023,,,ES01055,EUR,ES01055,1128.7
2022,,,ES01056,EUR,ES01056,759.5
2023,,,ES01056,EUR,ES01056,841.4
2022,,,ES01057,EUR,ES01057,830.6
2023,,,ES01057,EUR,ES01057,947.4
2022,,,ES01058,EUR,ES01058,1437.0
2023,,,ES01058,EUR,ES01058,1564.7
2022,,,ES01059,EUR,ES01059,1401.0
2023,,,ES01059,EUR,ES01059,1537.1
2022,,ES0106,,EUR,ES0106,1436.9
2023,,ES0106,,EUR,ES0106,1567.8
2022,,,ES01060,EUR,ES01060,808.7
2023,,,ES01060,EUR,ES01060,905.8
2022,,,ES01061,EUR,ES01061,1254.0
2023,,,ES01061,EUR,ES01061,1396.8
2022,,,ES01062,EUR,ES01062,1175.8
2023,,,ES01062,EUR,ES01062,1283.2
2022,,,ES01063,EUR,ES01063,1380.2
2023,,,ES01063,EUR,ES01063,1555.8
2022,,,ES01901,EUR,ES01901,1281.7
2023,,,ES01901,EUR,ES01901,1424.0
2022,,,ES01902,EUR,ES01902,1001.2
2023,,,ES01902,EUR,ES01902,1133.9
2022,ES212,,,EUR,ES212,1331.1
2023,ES212,,,EUR,ES212,1461.8
2022,,,ES20001,EUR,ES20001,1287.0
2023,,,ES20001,EUR,ES20001,1419.5
2022,,,ES20002,EUR,ES20002,1261.7
2023,,,ES20002,EUR,ES20002,1368.6
2022,,,ES20003,EUR,ES20003,1360.9
2023,,,ES20003,EUR,ES20003,1483.2
2022,,,ES20004,EUR,ES20004,1215.5
2023,,,ES20004,EUR,ES20004,1349.4
2022,,,ES20005,EUR,ES20005,1193.9
2023,,,ES20005,EUR,ES20005,1317.0
2022,,,ES20006,EUR,ES20006,1113.9
2023,,,ES20006,EUR,ES20006,1194.8
2022,,,ES20007,EUR,ES20007,1315.6
2023,,,ES20007,EUR,ES20007,1522.8
2022,,,ES20008,EUR,ES20008,1414.6
2023,,,ES20008,EUR,ES20008,1529.8
2022,,,ES20009,EUR,ES20009,1371.5
2023,,,ES20009,EUR,ES20009,1497.2
2022,,ES2001,,EUR,ES2001,1257.8
2023,,ES2001,,EUR,ES2001,1380.0
2022,,,ES20010,EUR,ES20010,1348.9
2023,,,ES20010,EUR,ES20010,1467.9
2022,,,ES20011,EUR,ES20011,1350.4
2023,,,ES20011,EUR,ES20011,1483.3
2022,,,ES20012,EUR,ES20012,1360.3
2023,,,ES20012,EUR,ES20012,1491.7
2022,,,ES20013,EUR,ES20013,1084.9
2023,,,ES20013,EUR,ES20013,1201.3
2022,,,ES20014,EUR,ES20014,1183.4
2023,,,ES20014,EUR,ES20014,1300.1
2022,,,ES20015,EUR,ES20015,1297.4
2023,,,ES20015,EUR,ES20015,1428.7
2022,,,ES20016,EUR,ES20016,1100.9
2023,,,ES20016,EUR,ES20016,1227.4
2022,,,ES20017,EUR,ES20017,1352.3
2023,,,ES20017,EUR,ES20017,1496.1
2022,,,ES20018,EUR,ES20018,1336.1
2023,,,ES20018,EUR,ES20018,1460.2
2022,,,ES20019,EUR,ES20019,1478.1
2023,,,ES20019,EUR,ES20019,1618.1
2022,,ES2002,,EUR,ES2002,1323.6
2023,,ES2002,,EUR,ES2002,1455.5
2022,,,ES20020,EUR,ES20020,1041.0
2023,,,ES20020,EUR,ES20020,1117.6
2022,,,ES20021,EUR,ES20021,1247.4
2023,,,ES20021,EUR,ES20021,1387.0
2022,,,ES20022,EUR,ES20022,1342.5
2023,,,ES20022,EUR,ES20022,1469.2
2022,,,ES20023,EUR,ES20023,1235.4
2023,,,ES20023,EUR,ES20023,1369.6
2022,,,ES20024,EUR,ES20024,1158.0
2023,,,ES20024,EUR,ES20024,1284.5
2022,,,ES20025,EUR,ES20025,1187.8
2023,,,ES20025,EUR,ES20025,1327.3
2022,,,ES20026,EUR,ES20026,1223.5
2023,,,ES20026,EUR,ES20026,1374.8
2022,,,ES20027,EUR,ES20027,1281.3
2023,,,ES20027,EUR,ES20027,1399.2
2022,,,ES20028,EUR,ES20028,1336.6
2023,,,ES20028,EUR,ES20028,1474.6
2022,,,ES20029,EUR,ES20029,1278.5
2023,,,ES20029,EUR,ES20029,1408.6
2022,,ES2003,,EUR,ES2003,1221.7
2023,,ES2003,,EUR,ES2003,1342.0
2022,,,ES20030,EUR,ES20030,1348.0
2023,,,ES20030,EUR,ES20030,1485.8
2022,,,ES20031,EUR,ES20031,1358.9
2023,,,ES20031,EUR,ES20031,1452.5
2022,,,ES20032,EUR,ES20032,1371.0
2023,,,ES20032,EUR,ES20032,1498.2
2022,,,ES20033,EUR,ES20033,1371.5
2023,,,ES20033,EUR,ES20033,1505.0
2022,,,ES20034,EUR,ES20034,1084.2
2023,,,ES20034,EUR,ES20034,1182.9
2022,,,ES20035,EUR,ES20035,1281.4
2023,,,ES20035,EUR,ES20035,1408.8
2022,,,ES20036,EUR,ES20036,1350.7
2023,,,ES20036,EUR,ES20036,1482.5
2022,,,ES20037,EUR,ES20037,1454.7
2023,,,ES20037,EUR,ES20037,1627.9
2022,,,ES20038,EUR,ES20038,1266.7
2023,,,ES20038,EUR,ES20038,1381.5
2022,,,ES20039,EUR,ES20039,1165.1
2023,,,ES20039,EUR,ES20039,1278.8
2022,,ES2004,,EUR,ES2004,1351.0
2023,,ES2004,,EUR,ES2004,1483.7
2022,,,ES20040,EUR,ES20040,1274.0
2023,,,ES20040,EUR,ES20040,1405.5
2022,,,ES20041,EUR,ES20041,1455.7
2023,,,ES20041,EUR,ES20041,1496.2
2022,,,ES20042,EUR,ES20042,1344.8
2023,,,ES20042,EUR,ES20042,1479.2
2022,,,ES20043,EUR,ES20043,1329.9
2023,,,ES20043,EUR,ES20043,1454.1
2022,,,ES20044,EUR,ES20044,1320.8
2023,,,ES20044,EUR,ES20044,1418.1
2022,,,ES20045,EUR,ES20045,1232.6
2023,,,ES20045,EUR,ES20045,1351.9
2022,,,ES20046,EUR,ES20046,1321.0
2023,,,ES20046,EUR,ES20046,1425.4
2022,,,ES20047,EUR,ES20047,1286.3
2023,,,ES20047,EUR,ES20047,1392.4
2022,,,ES20048,EUR,ES20048,1145.5
2023,,,ES20048,EUR,ES20048,1283.8
2022,,,ES20049,EUR,ES20049,1453.6
2023,,,ES20049,EUR,ES20049,1580.3
2022,,ES2005,,EUR,ES2005,1426.6
2023,,ES2005,,EUR,ES2005,1565.3
2022,,,ES20050,EUR,ES20050,1313.0
2023,,,ES20050,EUR,ES20050,1453.9
2022,,,ES20051,EUR,ES20051,1470.5
2023,,,ES20051,EUR,ES20051,1621.7
2022,,,ES20052,EUR,ES20052,1371.1
2023,,,ES20052,EUR,ES20052,1487.5
2022,,,ES20053,EUR,ES20053,1257.1
2023,,,ES20053,EUR,ES20053,1380.9
2022,,,ES20054,EUR,ES20054,1289.7
2023,,,ES20054,EUR,ES20054,1451.0
2022,,,ES20055,EUR,ES20055,1158.9
2023,,,ES20055,EUR,ES20055,1271.1
2022,,,ES20056,EUR,ES20056,1174.8
2023,,,ES20056,EUR,ES20056,1301.5
2022,,,ES20057,EUR,ES20057,1108.7
2023,,,ES20057,EUR,ES20057,1240.0
2022,,,ES20058,EUR,ES20058,1533.3
2023,,,ES20058,EUR,ES20058,1675.5
2022,,,ES20059,EUR,ES20059,1273.1
2023,,,ES20059,EUR,ES20059,1403.8
2022,,ES2006,,EUR,ES2006,1335.3
2023,,ES2006,,EUR,ES2006,1465.2
2022,,,ES20060,EUR,ES20060,1464.2
2023,,,ES20060,EUR,ES20060,1692.6
2022,,,ES20061,EUR,ES20061,1235.4
2023,,,ES20061,EUR,ES20061,1367.5
2022,,,ES20062,EUR,ES20062,1337.7
2023,,,ES20062,EUR,ES20062,1461.5
2022,,,ES20063,EUR,ES20063,1272.6
2023,,,ES20063,EUR,ES20063,1397.1
2022,,,ES20064,EUR,ES20064,1175.1
2023,,,ES20064,EUR,ES20064,1288.0
2022,,,ES20065,EUR,ES20065,1287.2
2023,,,ES20065,EUR,ES20065,1405.3
2022,,,ES20066,EUR,ES20066,1008.9
2023,,,ES20066,EUR,ES20066,1085.5
2022,,,ES20067,EUR,ES20067,1241.8
