Year,Territorio,Comarca,Municipio,Units,GeoCode,Value
2012,,,,PT,,1.05
2013,,,,PT,,1.13
2017,,,,PT,,1.56
2016,,,,PT,,1.17
2010,,,,PT,,0.76
2019,,,,PT,,2.09
2011,,,,PT,,0.85
2014,,,,PT,,1.05
2021,,,,PT,,2.91
2015,,,,PT,,1.09
2020,,,,PT,,2.63
2018,,,,PT,,1.65
2021,,,ES48001,PT,ES48001,3.94
2018,,,ES48001,PT,ES48001,0.18
2013,,,ES48001,PT,ES48001,0.39
2016,,,ES48001,PT,ES48001,0.19
2010,,,ES48001,PT,ES48001,0.29
2012,,,ES48001,PT,ES48001,0.4
2015,,,ES48001,PT,ES48001,0.33
2017,,,ES48001,PT,ES48001,0.21
2019,,,ES48001,PT,ES48001,2.66
2014,,,ES48001,PT,ES48001,0.33
2011,,,ES48001,PT,ES48001,0.41
2020,,,ES48001,PT,ES48001,3.75
2014,,,ES20001,PT,ES20001,0.0
2018,,,ES20001,PT,ES20001,0.79
2021,,,ES20001,PT,ES20001,1.67
2020,,,ES20001,PT,ES20001,0.57
2010,,,ES20001,PT,ES20001,0.83
2011,,,ES20001,PT,ES20001,0.81
2016,,,ES20001,PT,ES20001,0.0
2012,,,ES20001,PT,ES20001,0.81
2013,,,ES20001,PT,ES20001,0.81
2019,,,ES20001,PT,ES20001,0.57
2015,,,ES20001,PT,ES20001,0.0
2017,,,ES20001,PT,ES20001,0.0
2016,,,ES48002,PT,ES48002,0.0
2011,,,ES48002,PT,ES48002,0.0
2021,,,ES48002,PT,ES48002,0.19
2013,,,ES48002,PT,ES48002,0.0
2019,,,ES48002,PT,ES48002,0.03
2010,,,ES48002,PT,ES48002,0.0
2015,,,ES48002,PT,ES48002,0.0
2014,,,ES48002,PT,ES48002,0.0
2012,,,ES48002,PT,ES48002,0.0
2020,,,ES48002,PT,ES48002,0.19
2018,,,ES48002,PT,ES48002,1.1
2017,,,ES48002,PT,ES48002,0.0
2016,,,ES20002,PT,ES20002,0.0
2010,,,ES20002,PT,ES20002,0.0
2014,,,ES20002,PT,ES20002,0.0
2019,,,ES20002,PT,ES20002,0.0
2017,,,ES20002,PT,ES20002,0.0
2018,,,ES20002,PT,ES20002,0.0
2015,,,ES20002,PT,ES20002,0.0
2012,,,ES20002,PT,ES20002,0.0
2021,,,ES20002,PT,ES20002,0.0
2011,,,ES20002,PT,ES20002,0.0
2013,,,ES20002,PT,ES20002,0.0
2020,,,ES20002,PT,ES20002,0.0
2020,,,ES01051,PT,ES01051,0.42
2014,,,ES01051,PT,ES01051,0.33
2015,,,ES01051,PT,ES01051,0.33
2016,,,ES01051,PT,ES01051,0.41
2019,,,ES01051,PT,ES01051,0.43
2011,,,ES01051,PT,ES01051,0.35
2021,,,ES01051,PT,ES01051,0.12
2012,,,ES01051,PT,ES01051,0.35
2017,,,ES01051,PT,ES01051,0.41
2013,,,ES01051,PT,ES01051,0.35
2018,,,ES01051,PT,ES01051,0.43
2010,,,ES01051,PT,ES01051,0.38
2010,,,ES20016,PT,ES20016,0.33
2011,,,ES20016,PT,ES20016,0.51
2020,,,ES20016,PT,ES20016,0.92
2017,,,ES20016,PT,ES20016,0.43
2019,,,ES20016,PT,ES20016,1.2
2012,,,ES20016,PT,ES20016,0.52
2014,,,ES20016,PT,ES20016,0.35
2016,,,ES20016,PT,ES20016,0.35
2018,,,ES20016,PT,ES20016,0.45
2015,,,ES20016,PT,ES20016,0.36
2013,,,ES20016,PT,ES20016,0.34
2021,,,ES20016,PT,ES20016,1.44
2021,,,ES20003,PT,ES20003,0.6
2020,,,ES20003,PT,ES20003,1.05
2010,,,ES20003,PT,ES20003,1.61
2017,,,ES20003,PT,ES20003,1.05
2011,,,ES20003,PT,ES20003,1.58
2019,,,ES20003,PT,ES20003,1.08
2013,,,ES20003,PT,ES20003,1.58
2018,,,ES20003,PT,ES20003,1.06
2014,,,ES20003,PT,ES20003,1.1
2016,,,ES20003,PT,ES20003,1.13
2015,,,ES20003,PT,ES20003,1.1
2012,,,ES20003,PT,ES20003,1.58
2017,,,ES48911,PT,ES48911,2.05
2020,,,ES48911,PT,ES48911,2.08
2016,,,ES48911,PT,ES48911,2.07
2018,,,ES48911,PT,ES48911,2.04
2015,,,ES48911,PT,ES48911,2.23
2014,,,ES48911,PT,ES48911,2.49
2011,,,ES48911,PT,ES48911,2.33
2010,,,ES48911,PT,ES48911,1.03
2021,,,ES48911,PT,ES48911,2.19
2012,,,ES48911,PT,ES48911,2.33
2019,,,ES48911,PT,ES48911,2.08
2013,,,ES48911,PT,ES48911,2.63
2019,,,ES20004,PT,ES20004,0.0
2018,,,ES20004,PT,ES20004,0.0
2012,,,ES20004,PT,ES20004,0.0
2016,,,ES20004,PT,ES20004,0.0
2011,,,ES20004,PT,ES20004,0.0
2014,,,ES20004,PT,ES20004,0.0
2010,,,ES20004,PT,ES20004,0.0
2013,,,ES20004,PT,ES20004,0.0
2017,,,ES20004,PT,ES20004,0.0
2015,,,ES20004,PT,ES20004,0.0
2020,,,ES20004,PT,ES20004,0.0
2021,,,ES20004,PT,ES20004,0.0
2021,,,ES20005,PT,ES20005,0.27
