Year,Actividad,Territorio,Comarca,Municipio,Units,GeoCode,Value
2021,AGRI_ECO,,,,PT,,10.1
2010,AGRI_ECO,,,,PT,,3.1
2018,AGRI_ECO,,,,PT,,6.0
2020,AGRI_ECO,,,,PT,,7.2
2011,AGRI_ECO,,,,PT,,3.9
2013,AGRI_ECO,,,,PT,,4.1
2016,AGRI_ECO,,,,PT,,5.4
2022,AGRI_ECO,,,,PT,,9.9
2014,AGRI_ECO,,,,PT,,4.6
2019,AGRI_ECO,,,,PT,,6.5
2012,AGRI_ECO,,,,PT,,3.7
2017,AGRI_ECO,,,,PT,,5.7
2015,AGRI_ECO,,,,PT,,5.6
2022,AGRI_ECO,,,ES48001,PT,ES48001,10.0
2016,AGRI_ECO,,,ES48001,PT,ES48001,4.8
2012,AGRI_ECO,,,ES48001,PT,ES48001,7.1
2019,AGRI_ECO,,,ES48001,PT,ES48001,7.1
2021,AGRI_ECO,,,ES48001,PT,ES48001,10.0
2010,AGRI_ECO,,,ES48001,PT,ES48001,7.1
2018,AGRI_ECO,,,ES48001,PT,ES48001,7.1
2011,AGRI_ECO,,,ES48001,PT,ES48001,9.5
2013,AGRI_ECO,,,ES48001,PT,ES48001,7.1
2014,AGRI_ECO,,,ES48001,PT,ES48001,9.5
2020,AGRI_ECO,,,ES48001,PT,ES48001,10.0
2017,AGRI_ECO,,,ES48001,PT,ES48001,4.8
2015,AGRI_ECO,,,ES48001,PT,ES48001,9.5
2022,AGRI_ECO,,,ES20001,PT,ES20001,0.0
2020,AGRI_ECO,,,ES20001,PT,ES20001,12.5
2015,AGRI_ECO,,,ES20001,PT,ES20001,0.0
2016,AGRI_ECO,,,ES20001,PT,ES20001,0.0
2012,AGRI_ECO,,,ES20001,PT,ES20001,7.1
2017,AGRI_ECO,,,ES20001,PT,ES20001,0.0
2018,AGRI_ECO,,,ES20001,PT,ES20001,0.0
2021,AGRI_ECO,,,ES20001,PT,ES20001,0.0
2013,AGRI_ECO,,,ES20001,PT,ES20001,7.1
2019,AGRI_ECO,,,ES20001,PT,ES20001,0.0
2010,AGRI_ECO,,,ES20001,PT,ES20001,7.1
2011,AGRI_ECO,,,ES20001,PT,ES20001,7.1
2014,AGRI_ECO,,,ES20001,PT,ES20001,0.0
2017,AGRI_ECO,,,ES48002,PT,ES48002,5.9
2021,AGRI_ECO,,,ES48002,PT,ES48002,14.3
2012,AGRI_ECO,,,ES48002,PT,ES48002,0.0
2014,AGRI_ECO,,,ES48002,PT,ES48002,0.0
2018,AGRI_ECO,,,ES48002,PT,ES48002,5.9
2015,AGRI_ECO,,,ES48002,PT,ES48002,0.0
2020,AGRI_ECO,,,ES48002,PT,ES48002,0.0
2013,AGRI_ECO,,,ES48002,PT,ES48002,0.0
2011,AGRI_ECO,,,ES48002,PT,ES48002,0.0
2016,AGRI_ECO,,,ES48002,PT,ES48002,0.0
2010,AGRI_ECO,,,ES48002,PT,ES48002,0.0
2019,AGRI_ECO,,,ES48002,PT,ES48002,5.9
2022,AGRI_ECO,,,ES48002,PT,ES48002,14.3
2017,AGRI_ECO,,,ES20002,PT,ES20002,0.0
