Year,Series,Sexo,Units,Value
2018,SH_HIV_INCD,,PER_1000,0.08
2020,SH_HIV_INCD,,PER_1000,0.05
2022,SH_HIV_INCD,,PER_1000,0.06
2012,SH_HIV_INCD,,PER_1000,0.07
2019,SH_HIV_INCD,,PER_1000,0.07
2010,SH_HIV_INCD,,PER_1000,0.09
2011,SH_HIV_INCD,,PER_1000,0.08
2016,SH_HIV_INCD,,PER_1000,0.07
2014,SH_HIV_INCD,,PER_1000,0.07
2017,SH_HIV_INCD,,PER_1000,0.06
2013,SH_HIV_INCD,,PER_1000,0.07
2015,SH_HIV_INCD,,PER_1000,0.07
2021,SH_HIV_INCD,,PER_1000,0.05
2013,SH_HIV_INCD,F,PER_1000,0.02
2018,SH_HIV_INCD,F,PER_1000,0.03
2015,SH_HIV_INCD,F,PER_1000,0.03
2017,SH_HIV_INCD,F,PER_1000,0.03
2020,SH_HIV_INCD,F,PER_1000,0.02
2016,SH_HIV_INCD,F,PER_1000,0.03
2019,SH_HIV_INCD,F,PER_1000,0.02
2012,SH_HIV_INCD,F,PER_1000,0.03
2022,SH_HIV_INCD,F,PER_1000,0.03
2010,SH_HIV_INCD,F,PER_1000,0.04
2011,SH_HIV_INCD,F,PER_1000,0.04
2021,SH_HIV_INCD,F,PER_1000,0.02
2014,SH_HIV_INCD,F,PER_1000,0.03
2016,SH_HIV_INCD,M,PER_1000,0.12
2019,SH_HIV_INCD,M,PER_1000,0.11
2021,SH_HIV_INCD,M,PER_1000,0.09
2018,SH_HIV_INCD,M,PER_1000,0.13
2014,SH_HIV_INCD,M,PER_1000,0.11
2020,SH_HIV_INCD,M,PER_1000,0.08
2015,SH_HIV_INCD,M,PER_1000,0.11
2011,SH_HIV_INCD,M,PER_1000,0.13
2010,SH_HIV_INCD,M,PER_1000,0.14
2013,SH_HIV_INCD,M,PER_1000,0.12
2017,SH_HIV_INCD,M,PER_1000,0.1
2012,SH_HIV_INCD,M,PER_1000,0.13
2022,SH_HIV_INCD,M,PER_1000,0.09
