Year,Violencia,Territorio,Comarca,Municipio,Units,GeoCode,Value
2019,ALLV,,,,PER_10000,,48.9
2022,ALLV,,,,PER_10000,,46.7
2020,ALLV,,,,PER_10000,,46.7
2018,ALLV,,,,PER_10000,,47.3
2021,ALLV,,,,PER_10000,,48.2
2019,ALLV,,,ES48001,PER_10000,ES48001,33.6
2021,ALLV,,,ES48001,PER_10000,ES48001,38.7
2020,ALLV,,,ES48001,PER_10000,ES48001,23.3
2018,ALLV,,,ES48001,PER_10000,ES48001,44.1
2020,ALLV,,,ES20001,PER_10000,ES20001,71.4
2018,ALLV,,,ES20001,PER_10000,ES20001,0.0
2019,ALLV,,,ES20001,PER_10000,ES20001,0.0
2021,ALLV,,,ES20001,PER_10000,ES20001,0.0
2019,ALLV,,,ES48002,PER_10000,ES48002,54.2
2020,ALLV,,,ES48002,PER_10000,ES48002,86.0
2018,ALLV,,,ES48002,PER_10000,ES48002,55.9
2021,ALLV,,,ES48002,PER_10000,ES48002,67.7
2018,ALLV,,,ES20002,PER_10000,ES20002,135.7
2021,ALLV,,,ES20002,PER_10000,ES20002,0.0
2020,ALLV,,,ES20002,PER_10000,ES20002,132.7
2019,ALLV,,,ES20002,PER_10000,ES20002,0.0
2021,ALLV,,,ES01051,PER_10000,ES01051,34.9
2019,ALLV,,,ES01051,PER_10000,ES01051,41.4
2018,ALLV,,,ES01051,PER_10000,ES01051,49.0
2020,ALLV,,,ES01051,PER_10000,ES01051,57.3
2019,ALLV,,,ES20016,PER_10000,ES20016,43.0
2020,ALLV,,,ES20016,PER_10000,ES20016,52.7
2021,ALLV,,,ES20016,PER_10000,ES20016,0.0
2018,ALLV,,,ES20016,PER_10000,ES20016,31.9
2019,ALLV,,,ES20003,PER_10000,ES20003,0.0
2020,ALLV,,,ES20003,PER_10000,ES20003,0.0
2021,ALLV,,,ES20003,PER_10000,ES20003,26.2
2018,ALLV,,,ES20003,PER_10000,ES20003,0.0
2021,ALLV,,,ES48911,PER_10000,ES48911,0.0
2020,ALLV,,,ES48911,PER_10000,ES48911,0.0
2018,ALLV,,,ES48911,PER_10000,ES48911,0.0
2019,ALLV,,,ES48911,PER_10000,ES48911,0.0
2020,ALLV,,,ES20004,PER_10000,ES20004,0.0
2018,ALLV,,,ES20004,PER_10000,ES20004,0.0
2021,ALLV,,,ES20004,PER_10000,ES20004,0.0
2019,ALLV,,,ES20004,PER_10000,ES20004,0.0
2021,ALLV,,,ES20005,PER_10000,ES20005,34.9
2018,ALLV,,,ES20005,PER_10000,ES20005,47.4
2020,ALLV,,,ES20005,PER_10000,ES20005,46.1
2019,ALLV,,,ES20005,PER_10000,ES20005,46.8
2021,ALLV,,,ES01001,PER_10000,ES01001,52.4
2018,ALLV,,,ES01001,PER_10000,ES01001,66.7
2019,ALLV,,,ES01001,PER_10000,ES01001,46.3
2020,ALLV,,,ES01001,PER_10000,ES01001,59.2
2020,ALLV,,,ES20006,PER_10000,ES20006,0.0
2018,ALLV,,,ES20006,PER_10000,ES20006,0.0
2019,ALLV,,,ES20006,PER_10000,ES20006,0.0
2021,ALLV,,,ES20006,PER_10000,ES20006,0.0
2019,ALLV,,,ES48912,PER_10000,ES48912,74.1
2021,ALLV,,,ES48912,PER_10000,ES48912,59.4
2020,ALLV,,,ES48912,PER_10000,ES48912,26.8
2018,ALLV,,,ES48912,PER_10000,ES48912,26.8
2018,ALLV,,,ES20906,PER_10000,ES20906,0.0
2019,ALLV,,,ES20906,PER_10000,ES20906,0.0
2021,ALLV,,,ES20906,PER_10000,ES20906,0.0
2020,ALLV,,,ES20906,PER_10000,ES20906,0.0
2020,ALLV,,,ES20007,PER_10000,ES20007,0.0
2021,ALLV,,,ES20007,PER_10000,ES20007,0.0
2019,ALLV,,,ES20007,PER_10000,ES20007,0.0
2018,ALLV,,,ES20007,PER_10000,ES20007,0.0
2020,ALLV,,,ES20008,PER_10000,ES20008,22.5
2018,ALLV,,,ES20008,PER_10000,ES20008,0.0
2019,ALLV,,,ES20008,PER_10000,ES20008,22.9
2021,ALLV,,,ES20008,PER_10000,ES20008,22.3
2021,ALLV,,,ES48003,PER_10000,ES48003,34.8
2020,ALLV,,,ES48003,PER_10000,ES48003,33.0
2019,ALLV,,,ES48003,PER_10000,ES48003,37.5
2018,ALLV,,,ES48003,PER_10000,ES48003,39.8
2021,ALLV,,,ES48004,PER_10000,ES48004,0.0
2019,ALLV,,,ES48004,PER_10000,ES48004,96.2
2018,ALLV,,,ES48004,PER_10000,ES48004,0.0
2020,ALLV,,,ES48004,PER_10000,ES48004,0.0
2018,ALLV,,,ES01002,PER_10000,ES01002,0.0
