Year,Series,Energia,Territorio,Comarca,Municipio,Units,GeoCode,Value
2018,EG_EGY_RNEW,TRT_MULTIPLE,,,,W_PER_CAPITA,,1732.0
2021,EG_EGY_RNEW,TRT_MULTIPLE,,,,W_PER_CAPITA,,1996.4
2020,EG_EGY_RNEW,TRT_MULTIPLE,,,,W_PER_CAPITA,,1898.1
2022,EG_EGY_RNEW,TRT_MULTIPLE,,,,W_PER_CAPITA,,2003.3
2016,EG_EGY_RNEW,TRT_MULTIPLE,,,,W_PER_CAPITA,,1706.5
2012,EG_EGY_RNEW,TRT_MULTIPLE,,,,W_PER_CAPITA,,1668.2
2010,EG_EGY_RNEW,TRT_MULTIPLE,,,,W_PER_CAPITA,,1655.3
2013,EG_EGY_RNEW,TRT_MULTIPLE,,,,W_PER_CAPITA,,1682.2
2015,EG_EGY_RNEW,TRT_MULTIPLE,,,,W_PER_CAPITA,,1703.3
2017,EG_EGY_RNEW,TRT_MULTIPLE,,,,W_PER_CAPITA,,1710.0
2019,EG_EGY_RNEW,TRT_MULTIPLE,,,,W_PER_CAPITA,,1752.5
2011,EG_EGY_RNEW,TRT_MULTIPLE,,,,W_PER_CAPITA,,1655.6
2014,EG_EGY_RNEW,TRT_MULTIPLE,,,,W_PER_CAPITA,,1687.6
2013,EG_EGY_RNEW,TRT_MULTIPLE,,,ES48001,W_PER_CAPITA,ES48001,303.9
2015,EG_EGY_RNEW,TRT_MULTIPLE,,,ES48001,W_PER_CAPITA,ES48001,314.9
2020,EG_EGY_RNEW,TRT_MULTIPLE,,,ES48001,W_PER_CAPITA,ES48001,359.3
2012,EG_EGY_RNEW,TRT_MULTIPLE,,,ES48001,W_PER_CAPITA,ES48001,305.1
2018,EG_EGY_RNEW,TRT_MULTIPLE,,,ES48001,W_PER_CAPITA,ES48001,335.9
2022,EG_EGY_RNEW,TRT_MULTIPLE,,,ES48001,W_PER_CAPITA,ES48001,424.8
2010,EG_EGY_RNEW,TRT_MULTIPLE,,,ES48001,W_PER_CAPITA,ES48001,290.5
2021,EG_EGY_RNEW,TRT_MULTIPLE,,,ES48001,W_PER_CAPITA,ES48001,405.2
2011,EG_EGY_RNEW,TRT_MULTIPLE,,,ES48001,W_PER_CAPITA,ES48001,307.4
2019,EG_EGY_RNEW,TRT_MULTIPLE,,,ES48001,W_PER_CAPITA,ES48001,353.2
2014,EG_EGY_RNEW,TRT_MULTIPLE,,,ES48001,W_PER_CAPITA,ES48001,315.2
2017,EG_EGY_RNEW,TRT_MULTIPLE,,,ES48001,W_PER_CAPITA,ES48001,314.5
2016,EG_EGY_RNEW,TRT_MULTIPLE,,,ES48001,W_PER_CAPITA,ES48001,315.4
