Year,Empleo,Territorio,Comarca,Municipio,Units,GeoCode,Value
2012,WME_EMPLOYEES,,,,PT,,1.1
2022,WME_EMPLOYEES,,,,PT,,3.2
2019,WME_EMPLOYEES,,,,PT,,1.1
2014,WME_EMPLOYEES,,,,PT,,1.0
2020,WME_EMPLOYEES,,,,PT,,-8.0
2015,WME_EMPLOYEES,,,,PT,,0.9
2017,WME_EMPLOYEES,,,,PT,,0.8
2021,WME_EMPLOYEES,,,,PT,,4.9
2018,WME_EMPLOYEES,,,,PT,,0.9
2011,WME_EMPLOYEES,,,,PT,,1.6
2016,WME_EMPLOYEES,,,,PT,,1.1
2013,WME_EMPLOYEES,,,,PT,,0.6
2016,WME_EMPLOYEES,ES211,,,PT,ES211,0.8
2014,WME_EMPLOYEES,ES211,,,PT,ES211,2.7
2015,WME_EMPLOYEES,ES211,,,PT,ES211,1.6
2012,WME_EMPLOYEES,ES211,,,PT,ES211,1.0
2021,WME_EMPLOYEES,ES211,,,PT,ES211,4.7
2013,WME_EMPLOYEES,ES211,,,PT,ES211,0.7
2011,WME_EMPLOYEES,ES211,,,PT,ES211,2.6
2018,WME_EMPLOYEES,ES211,,,PT,ES211,-0.1
2020,WME_EMPLOYEES,ES211,,,PT,ES211,-8.5
2017,WME_EMPLOYEES,ES211,,,PT,ES211,-0.2
2022,WME_EMPLOYEES,ES211,,,PT,ES211,1.7
2019,WME_EMPLOYEES,ES211,,,PT,ES211,0.7
2011,WME_EMPLOYEES,ES213,,,PT,ES213,1.5
2022,WME_EMPLOYEES,ES213,,,PT,ES213,4.4
2015,WME_EMPLOYEES,ES213,,,PT,ES213,0.6
2012,WME_EMPLOYEES,ES213,,,PT,ES213,0.8
2013,WME_EMPLOYEES,ES213,,,PT,ES213,1.1
2020,WME_EMPLOYEES,ES213,,,PT,ES213,-7.5
2016,WME_EMPLOYEES,ES213,,,PT,ES213,1.3
2019,WME_EMPLOYEES,ES213,,,PT,ES213,0.9
2018,WME_EMPLOYEES,ES213,,,PT,ES213,0.8
2014,WME_EMPLOYEES,ES213,,,PT,ES213,0.6
2017,WME_EMPLOYEES,ES213,,,PT,ES213,1.3
2021,WME_EMPLOYEES,ES213,,,PT,ES213,4.9
2011,WME_EMPLOYEES,ES212,,,PT,ES212,1.3
2022,WME_EMPLOYEES,ES212,,,PT,ES212,2.2
2019,WME_EMPLOYEES,ES212,,,PT,ES212,1.7
2020,WME_EMPLOYEES,ES212,,,PT,ES212,-8.6
2018,WME_EMPLOYEES,ES212,,,PT,ES212,1.2
2016,WME_EMPLOYEES,ES212,,,PT,ES212,1.3
2012,WME_EMPLOYEES,ES212,,,PT,ES212,1.4
2017,WME_EMPLOYEES,ES212,,,PT,ES212,0.6
2014,WME_EMPLOYEES,ES212,,,PT,ES212,0.5
2021,WME_EMPLOYEES,ES212,,,PT,ES212,5.2
2015,WME_EMPLOYEES,ES212,,,PT,ES212,1.2
2013,WME_EMPLOYEES,ES212,,,PT,ES212,0.1
2018,WME_HOURS,,,,PT,,0.2
2020,WME_HOURS,,,,PT,,-3.6
2021,WME_HOURS,,,,PT,,1.9
2012,WME_HOURS,,,,PT,,1.8
2017,WME_HOURS,,,,PT,,1.1
2011,WME_HOURS,,,,PT,,2.8
2019,WME_HOURS,,,,PT,,0.8
2013,WME_HOURS,,,,PT,,0.4
2014,WME_HOURS,,,,PT,,1.5
2015,WME_HOURS,,,,PT,,0.4
2016,WME_HOURS,,,,PT,,1.5
2014,WME_HOURS,ES211,,,PT,ES211,2.8
2012,WME_HOURS,ES211,,,PT,ES211,1.6
2020,WME_HOURS,ES211,,,PT,ES211,-4.3
2019,WME_HOURS,ES211,,,PT,ES211,1.0
2011,WME_HOURS,ES211,,,PT,ES211,3.2
2018,WME_HOURS,ES211,,,PT,ES211,-0.4
2021,WME_HOURS,ES211,,,PT,ES211,2.2
2013,WME_HOURS,ES211,,,PT,ES211,0.5
2016,WME_HOURS,ES211,,,PT,ES211,1.0
2017,WME_HOURS,ES211,,,PT,ES211,-0.3
2015,WME_HOURS,ES211,,,PT,ES211,1.1
2011,WME_HOURS,ES213,,,PT,ES213,3.0
2013,WME_HOURS,ES213,,,PT,ES213,0.8
2017,WME_HOURS,ES213,,,PT,ES213,1.6
2019,WME_HOURS,ES213,,,PT,ES213,0.6
2018,WME_HOURS,ES213,,,PT,ES213,0.4
2016,WME_HOURS,ES213,,,PT,ES213,1.6
2015,WME_HOURS,ES213,,,PT,ES213,0.1
2014,WME_HOURS,ES213,,,PT,ES213,1.5
2012,WME_HOURS,ES213,,,PT,ES213,1.5
2020,WME_HOURS,ES213,,,PT,ES213,-3.2
2021,WME_HOURS,ES213,,,PT,ES213,2.0
2016,WME_HOURS,ES212,,,PT,ES212,1.6
2018,WME_HOURS,ES212,,,PT,ES212,-0.1
2013,WME_HOURS,ES212,,,PT,ES212,0.1
2017,WME_HOURS,ES212,,,PT,ES212,0.9
2011,WME_HOURS,ES212,,,PT,ES212,2.4
2015,WME_HOURS,ES212,,,PT,ES212,0.7
2012,WME_HOURS,ES212,,,PT,ES212,2.2
2019,WME_HOURS,ES212,,,PT,ES212,1.1
2020,WME_HOURS,ES212,,,PT,ES212,-3.9
2021,WME_HOURS,ES212,,,PT,ES212,1.6
2014,WME_HOURS,ES212,,,PT,ES212,0.6
2021,WME_POSITION,,,,PT,,7.4
2016,WME_POSITION,,,,PT,,1.7
2013,WME_POSITION,,,,PT,,1.1
2014,WME_POSITION,,,,PT,,1.8
2012,WME_POSITION,,,,PT,,1.0
2020,WME_POSITION,,,,PT,,-8.2
2022,WME_POSITION,,,,PT,,7.1
2018,WME_POSITION,,,,PT,,2.0
2015,WME_POSITION,,,,PT,,1.1
2019,WME_POSITION,,,,PT,,2.0
2017,WME_POSITION,,,,PT,,1.4
2011,WME_POSITION,,,,PT,,1.8
2020,WME_POSITION,,,ES48001,PT,ES48001,-5.5
2019,WME_POSITION,,,ES48001,PT,ES48001,-4.2
2018,WME_POSITION,,,ES48001,PT,ES48001,11.5
2017,WME_POSITION,,,ES48001,PT,ES48001,6.9
