Year,Value,Units,Series,GeoCode
2020,92.6,PT,EU_COV_UNEMPLOY,
2019,53.5,PT,EU_COV_UNEMPLOY,
2022,61.3,PT,EU_COV_UNEMPLOY,
2018,46.7,PT,EU_COV_UNEMPLOY,
2017,45.7,PT,EU_COV_UNEMPLOY,
2023,66.4,PT,EU_COV_UNEMPLOY,
2021,59.1,PT,EU_COV_UNEMPLOY,
2022,82.1,PT,EU_COV_PENSN,
2018,82.9,PT,EU_COV_PENSN,
2019,83.0,PT,EU_COV_PENSN,
2014,82.9,PT,EU_COV_PENSN,
2021,82.5,PT,EU_COV_PENSN,
2012,82.3,PT,EU_COV_PENSN,
2011,82.4,PT,EU_COV_PENSN,
2017,82.8,PT,EU_COV_PENSN,
2016,82.8,PT,EU_COV_PENSN,
2010,82.4,PT,EU_COV_PENSN,
2013,82.8,PT,EU_COV_PENSN,
2015,82.7,PT,EU_COV_PENSN,
2023,81.8,PT,EU_COV_PENSN,
2020,82.9,PT,EU_COV_PENSN,
2020,50.9,PER_1000_POP,EU_COV_RGI,
2023,52.5,PER_1000_POP,EU_COV_RGI,
2019,50.9,PER_1000_POP,EU_COV_RGI,
2021,53.0,PER_1000_POP,EU_COV_RGI,
2022,53.5,PER_1000_POP,EU_COV_RGI,
2010,46.8,PLAZA,EU_COV_RESI,
2013,44.1,PLAZA,EU_COV_RESI,
2015,43.2,PLAZA,EU_COV_RESI,
2016,43.3,PLAZA,EU_COV_RESI,
2018,42.5,PLAZA,EU_COV_RESI,
2017,42.7,PLAZA,EU_COV_RESI,
2014,43.5,PLAZA,EU_COV_RESI,
2011,46.1,PLAZA,EU_COV_RESI,
2019,42.4,PLAZA,EU_COV_RESI,
2015,9.3,PLAZA,EU_COV_DIA,
2013,9.2,PLAZA,EU_COV_DIA,
2016,9.4,PLAZA,EU_COV_DIA,
2011,9.0,PLAZA,EU_COV_DIA,
2019,9.2,PLAZA,EU_COV_DIA,
2010,9.0,PLAZA,EU_COV_DIA,
2018,9.1,PLAZA,EU_COV_DIA,
2017,9.3,PLAZA,EU_COV_DIA,
2014,9.3,PLAZA,EU_COV_DIA,
