Year,Value,Units,Series
2012,0.31,KG_CO2_PER_GDP_EUR,EN_ATM_GHGGDP
2021,0.24,KG_CO2_PER_GDP_EUR,EN_ATM_GHGGDP
2019,0.24,KG_CO2_PER_GDP_EUR,EN_ATM_GHGGDP
2013,0.28,KG_CO2_PER_GDP_EUR,EN_ATM_GHGGDP
2011,0.3,KG_CO2_PER_GDP_EUR,EN_ATM_GHGGDP
2016,0.26,KG_CO2_PER_GDP_EUR,EN_ATM_GHGGDP
2018,0.25,KG_CO2_PER_GDP_EUR,EN_ATM_GHGGDP
2017,0.27,KG_CO2_PER_GDP_EUR,EN_ATM_GHGGDP
2015,0.28,KG_CO2_PER_GDP_EUR,EN_ATM_GHGGDP
2010,0.32,KG_CO2_PER_GDP_EUR,EN_ATM_GHGGDP
2020,0.24,KG_CO2_PER_GDP_EUR,EN_ATM_GHGGDP
2014,0.28,KG_CO2_PER_GDP_EUR,EN_ATM_GHGGDP
2022,0.24,KG_CO2_PER_GDP_EUR,EN_ATM_GHGGDP
2010,9.94,T_CO2_PER_CAPITA,EN_ATM_GHGPC
2011,9.23,T_CO2_PER_CAPITA,EN_ATM_GHGPC
2012,9.32,T_CO2_PER_CAPITA,EN_ATM_GHGPC
2013,8.56,T_CO2_PER_CAPITA,EN_ATM_GHGPC
2016,8.54,T_CO2_PER_CAPITA,EN_ATM_GHGPC
2014,8.57,T_CO2_PER_CAPITA,EN_ATM_GHGPC
2015,8.86,T_CO2_PER_CAPITA,EN_ATM_GHGPC
2017,8.98,T_CO2_PER_CAPITA,EN_ATM_GHGPC
2021,8.05,T_CO2_PER_CAPITA,EN_ATM_GHGPC
2018,8.66,T_CO2_PER_CAPITA,EN_ATM_GHGPC
2020,7.43,T_CO2_PER_CAPITA,EN_ATM_GHGPC
2019,8.42,T_CO2_PER_CAPITA,EN_ATM_GHGPC
2022,8.43,T_CO2_PER_CAPITA,EN_ATM_GHGPC
2010,4.02,PT,EU_GHG_TV1990
2011,-3.12,PT,EU_GHG_TV1990
2012,-2.15,PT,EU_GHG_TV1990
2013,-10.31,PT,EU_GHG_TV1990
2014,-10.31,PT,EU_GHG_TV1990
2016,-10.56,PT,EU_GHG_TV1990
2017,-5.72,PT,EU_GHG_TV1990
2018,-8.83,PT,EU_GHG_TV1990
2015,-7.27,PT,EU_GHG_TV1990
2022,-10.82,PT,EU_GHG_TV1990
2019,-10.97,PT,EU_GHG_TV1990
2020,-21.36,PT,EU_GHG_TV1990
2021,-14.83,PT,EU_GHG_TV1990
2010,-14.54,PT,EU_GHG_TV2005
2011,-20.41,PT,EU_GHG_TV2005
2012,-19.61,PT,EU_GHG_TV2005
2013,-26.32,PT,EU_GHG_TV2005
2014,-26.32,PT,EU_GHG_TV2005
2015,-23.82,PT,EU_GHG_TV2005
2016,-26.52,PT,EU_GHG_TV2005
2017,-22.55,PT,EU_GHG_TV2005
2018,-25.1,PT,EU_GHG_TV2005
2019,-26.86,PT,EU_GHG_TV2005
2020,-35.4,PT,EU_GHG_TV2005
2021,-30.63,PT,EU_GHG_TV2005
2022,-27.37,PT,EU_GHG_TV2005
