Year,Value,Units,Series,GeoCode
2022,2003.3,W_PER_CAPITA,EG_EGY_RNEW,
2017,1710.0,W_PER_CAPITA,EG_EGY_RNEW,
2013,1682.2,W_PER_CAPITA,EG_EGY_RNEW,
2012,1668.2,W_PER_CAPITA,EG_EGY_RNEW,
2011,1655.6,W_PER_CAPITA,EG_EGY_RNEW,
2014,1687.6,W_PER_CAPITA,EG_EGY_RNEW,
2020,1898.1,W_PER_CAPITA,EG_EGY_RNEW,
2021,1996.4,W_PER_CAPITA,EG_EGY_RNEW,
2016,1706.5,W_PER_CAPITA,EG_EGY_RNEW,
2019,1752.5,W_PER_CAPITA,EG_EGY_RNEW,
2018,1732.0,W_PER_CAPITA,EG_EGY_RNEW,
2010,1655.3,W_PER_CAPITA,EG_EGY_RNEW,
2015,1703.3,W_PER_CAPITA,EG_EGY_RNEW,
