Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
1.2582573136,1.2582573136,1.2582573136,1.2582573136,1,1
1.3114754098,1.3114754098,1.3114754098,1.3114754098,1,1
1.488649051,1.488649051,1.488649051,1.488649051,1,1
1.580278129,1.580278129,1.580278129,1.580278129,1,1
1.724137931,1.724137931,1.724137931,1.724137931,1,1
1.8315018315,1.8315018315,1.8315018315,1.8315018315,1,1
2.025658339,2.025658339,2.025658339,2.025658339,1,1
2.0469217446,2.0469217446,2.0469217446,2.0469217446,1,1
2.1810250818,2.1810250818,2.1810250818,2.1810250818,1,1
2.2212350067,2.2212350067,2.2212350067,2.2212350067,1,1
2.3320895522,2.3320895522,2.3320895522,2.3320895522,1,1
2.3675643682,2.3675643682,2.3675643682,2.3675643682,1,1
2.390438247,2.390438247,2.390438247,2.390438247,1,1
2.4198427102,2.4198427102,2.4198427102,2.4198427102,1,1
2.4378352023,2.4378352023,2.4378352023,2.4378352023,1,1
2.4906600249,2.4906600249,2.4906600249,2.4906600249,1,1
2.4953212726,2.4953212726,2.4953212726,2.4953212726,1,1
2.5115110925,2.5115110925,2.5115110925,2.5115110925,1,1
2.6058631922,2.6058631922,2.6058631922,2.6058631922,1,1
2.6178010471,2.6178010471,2.6178010471,2.6178010471,1,1
2.6919349629,2.6919349629,2.6919349629,2.6919349629,1,1
2.7035145689,2.7035145689,2.7035145689,2.7035145689,1,1
2.7247956403,2.7247956403,2.7247956403,2.7247956403,1,1
2.7322404372,2.7322404372,2.7322404372,2.7322404372,1,1
2.766798419,2.766798419,2.766798419,2.766798419,1,1
2.7737226277,2.7737226277,2.7737226277,2.7737226277,1,1
2.8024287716,2.8024287716,2.8024287716,2.8024287716,1,1
2.8030048212,2.8030048212,2.8030048212,2.8030048212,1,1
2.817298211,2.817298211,2.817298211,2.817298211,1,1
2.8391167192,2.8391167192,2.8391167192,2.8391167192,1,1
2.8625954198,2.8625954198,2.8625954198,2.8625954198,1,1
2.8712059065,2.8712059065,2.8712059065,2.8712059065,1,1
2.88,2.88,2.88,2.88,1,1
2.9112081514,2.9112081514,2.9112081514,2.9112081514,1,1
2.9180695847,2.9180695847,2.9180695847,2.9180695847,1,1
2.9276453367,2.9276453367,2.9276453367,2.9276453367,1,1
2.9560810811,2.9560810811,2.9560810811,2.9560810811,1,1
3.0492453118,3.0492453118,3.0492453118,3.0492453118,1,1
3.0816640986,3.0816640986,3.0816640986,3.0816640986,1,1
3.1419594402,3.1419594402,3.1419594402,3.1419594402,1,1
3.1948881789,3.1948881789,3.1948881789,3.1948881789,1,1
3.3253524874,3.3253524874,3.3253524874,3.3253524874,1,1
3.3968880123,3.3968880123,3.3968880123,3.3968880123,1,1
3.4078000757,3.4078000757,3.4078000757,3.4078000757,1,1
3.5335689046,3.5335689046,3.5335689046,3.5335689046,1,1
3.5677879715,3.5677879715,3.5677879715,3.5677879715,1,1
3.6640360767,3.6640360767,3.6640360767,3.6640360767,1,1
3.6809815951,3.6809815951,3.6809815951,3.6809815951,1,1
3.6945812808,3.6945812808,3.6945812808,3.6945812808,1,1
3.6956798777,3.6956798777,3.6956798777,3.6956798777,1,1
3.7699371677,3.7699371677,3.7699371677,3.7699371677,1,1
3.8910505837,3.8910505837,3.8910505837,3.8910505837,1,1
4.0182159121,4.0182159121,4.0182159121,4.0182159121,1,1
4.0941658137,4.0941658137,4.0941658137,4.0941658137,1,1
4.2246759482,4.2246759482,4.2246759482,4.2246759482,1,1
4.2381044115,4.2381044115,4.2381044115,4.2381044115,1,1
4.5045045045,4.5045045045,4.5045045045,4.5045045045,1,1
4.7214353163,4.7214353163,4.7214353163,4.7214353163,1,1
5.3412462908,5.3412462908,5.3412462908,5.3412462908,1,1
5.4090601758,5.4090601758,5.4090601758,5.4090601758,1,1
