Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
ES0101,Añana (eskualdea),Añana (comarca),Añana (county),41,18
ES0102,Arabako Lautada / Llanada Alavesa,Arabako Lautada / Llanada Alavesa,Arabako Lautada / Llanada Alavesa,41,18
ES0103,Arabako Mendialdea / Montaña Alavesa,Arabako Mendialdea / Montaña Alavesa,Arabako Mendialdea / Montaña Alavesa,41,18
ES0104,Arabako Errioxa / Rioja Alavesa,Arabako Errioxa / Rioja Alavesa,Arabako Errioxa / Rioja Alavesa,41,18
ES0105,Gorbeialdea / Estribaciones del Gorbea,Gorbeialdea / Estribaciones del Gorbea,Gorbeialdea / Estribaciones del Gorbea,41,18
ES0106,Arabako Kantaurialdea / Cantábrica Alavesa,Arabako Kantaurialdea / Cantábrica Alavesa,Arabako Kantaurialdea / Cantábrica Alavesa,41,18
ES2001,Bidasoa Beherea / Bajo Bidasoa,Bidasoa Beherea / Bajo Bidasoa,Bidasoa Beherea / Bajo Bidasoa,41,18
ES2002,Debabarrena / Bajo Deba,Debabarrena / Bajo Deba,Debabarrena / Bajo Deba,41,18
ES2003,Debagoiena / Alto Deba,Debagoiena / Alto Deba,Debagoiena / Alto Deba,41,18
ES2004,Donostialdea,Donostialdea,Donostialdea,41,18
ES2005,Goierri,Goierri,Goierri,41,18
ES2006,Tolosaldea,Tolosaldea,Tolosaldea,41,18
ES2007,Urola Kosta,Urola Kosta,Urola Kosta,41,18
ES4801,Arratia Nerbioi / Arratia-Nervión,Arratia Nerbioi / Arratia-Nervión,Arratia Nerbioi / Arratia-Nervión,41,18
ES4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,41,18
ES4803,Durangaldea / Duranguesado,Durangaldea / Duranguesado,Durangaldea / Duranguesado,41,18
ES4804,Enkartazioak / Encartaciones,Enkartazioak / Encartaciones,Enkartazioak / Encartaciones,41,18
ES4805,Gernika-Bermeo,Gernika-Bermeo,Gernika-Bermeo,41,18
ES4806,Markina-Ondarroa,Markina-Ondarroa,Markina-Ondarroa,41,18
ES4807,Plentzia-Mungia,Plentzia-Mungia,Plentzia-Mungia,41,18
