Value,es,eu,en,Disaggregation combinations using this value,Number of indicators
Y10T14,10-14 años,10-14 años,10-14 años,1,1
Y15T19,15-19 años,15-19 años,15-19 años,1,1
Y15T24,15-24 años,15-24 años,15-24 años,12,1
Y15T64,15-64 años,15-64 años,15-64 años,20,2
Y16T24,16-24 años,16-24 años,16-24 años,96,1
Y18T49,18-49 años,18-49 años,18-49 años,1,1
Y18T64,18-64 años,18-64 años,18-64 años,9,2
Y25T64,25-64 años,25-64 años,25-64 años,12,1
Y25T74,25-74 años,27-74 años,27-74 años,96,1
Y5,5 años,5 años,5 años,12,1
Y_GE15,15 años y más,15 años y más,15 años y más,12,1
