Value,eu,es,en,Disaggregation combinations using this value,Number of indicators
ES01001,Alegría-Dulantzi,Alegría-Dulantzi,Alegría-Dulantzi,41,18
ES01002,Amurrio,Amurrio,Amurrio,41,18
ES01003,Aramaio,Aramaio,Aramaio,41,18
ES01004,Artziniega,Artziniega,Artziniega,41,18
ES01006,Armiñón,Armiñón,Armiñón,41,18
ES01008,Arratzua-Ubarrundia,Arratzua-Ubarrundia,Arratzua-Ubarrundia,41,18
ES01009,Asparrena,Asparrena,Asparrena,41,18
ES01010,Ayala / Aiara,Ayala/Aiara,Ayala/Aiara,41,18
ES01011,Baños de Ebro / Mañueta,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,41,18
ES01013,Barrundia,Barrundia,Barrundia,41,18
ES01014,Berantevilla,Berantevilla,Berantevilla,41,18
ES01016,Bernedo,Bernedo,Bernedo,41,18
ES01017,Campezo / Kanpezu,Campezo/Kanpezu,Campezo/Kanpezu,41,18
ES01018,Zigoitia,Zigoitia,Zigoitia,41,18
ES01019,Kripan,Kripan,Kripan,41,18
ES01020,Kuartango,Kuartango,Kuartango,41,18
ES01021,Elburgo / Burgelu,Elburgo/Burgelu,Elburgo/Burgelu,41,18
ES01022,Elciego,Elciego,Elciego,41,18
ES01023,Elvillar / Bilar,Elvillar/Bilar,Elvillar/Bilar,41,18
ES01027,Iruraiz-Gauna,Iruraiz-Gauna,Iruraiz-Gauna,41,18
ES01028,Labastida / Bastida,Labastida/Bastida,Labastida/Bastida,41,18
ES01030,Lagrán,Lagrán,Lagrán,41,18
ES01031,Laguardia,Laguardia,Laguardia,41,18
ES01032,Lanciego / Lantziego,Lanciego/Lantziego,Lanciego/Lantziego,41,18
ES01033,Lapuebla de Labarca,Lapuebla de Labarca,Lapuebla de Labarca,41,18
ES01034,Leza,Leza,Leza,41,18
ES01036,Laudio / Llodio,Laudio/Llodio,Laudio/Llodio,41,18
ES01037,Arraia-Maeztu,Arraia-Maeztu,Arraia-Maeztu,41,18
ES01039,Moreda de Álava / Moreda Araba,Moreda de Álava/Moreda Araba,Moreda de Álava/Moreda Araba,41,18
ES01041,Navaridas,Navaridas,Navaridas,41,18
ES01042,Okondo,Okondo,Okondo,41,18
ES01043,Oyón-Oion,Oyón-Oion,Oyón-Oion,41,18
ES01044,Peñacerrada-Urizaharra,Peñacerrada-Urizaharra,Peñacerrada-Urizaharra,41,18
ES01046,Erriberagoitia / Ribera Alta,Erriberagoitia/Ribera Alta,Erriberagoitia/Ribera Alta,41,18
ES01047,Ribera Baja / Erriberabeitia,Ribera Baja/Erriberabeitia,Ribera Baja/Erriberabeitia,41,18
ES01049,Añana,Añana,Añana,41,18
ES01051,Agurain / Salvatierra,Agurain/Salvatierra,Agurain/Salvatierra,41,18
ES01052,Samaniego,Samaniego,Samaniego,41,18
ES01053,San Millán / Donemiliaga,San Millán/Donemiliaga,San Millán/Donemiliaga,41,18
ES01054,Urkabustaiz,Urkabustaiz,Urkabustaiz,41,18
ES01055,Valdegovía / Gaubea,Valdegovía/Gaubea,Valdegovía/Gaubea,41,18
ES01056,Harana / Valle de Arana,Harana/Valle de Arana,Harana/Valle de Arana,41,18
ES01057,Villabuena de Álava / Eskuernaga,Villabuena de Álava/Eskuernaga,Villabuena de Álava/Eskuernaga,41,18
ES01058,Legutio,Legutio,Legutio,41,18
ES01059,Vitoria-Gasteiz,Vitoria-Gasteiz,Vitoria-Gasteiz,41,18
ES01060,Yécora / Iekora,Yécora/Iekora,Yécora/Iekora,41,18
ES01061,Zalduondo,Zalduondo,Zalduondo,41,18
ES01062,Zambrana,Zambrana,Zambrana,41,18
ES01063,Zuia,Zuia,Zuia,41,18
ES01901,Iruña Oka / Iruña de Oca,Iruña Oka/Iruña de Oca,Iruña Oka/Iruña de Oca,41,18
ES01902,Lantarón,Lantarón,Lantarón,41,18
ES20001,Abaltzisketa,Abaltzisketa,Abaltzisketa,41,18
ES20002,Aduna,Aduna,Aduna,41,18
ES20003,Aizarnazabal,Aizarnazabal,Aizarnazabal,41,18
ES20004,Albiztur,Albiztur,Albiztur,41,18
ES20005,Alegia,Alegia,Alegia,41,18
ES20006,Alkiza,Alkiza,Alkiza,41,18
ES20007,Altzo,Altzo,Altzo,41,18
ES20008,Amezketa,Amezketa,Amezketa,41,18
ES20009,Andoain,Andoain,Andoain,41,18
ES20010,Anoeta,Anoeta,Anoeta,41,18
ES20011,Antzuola,Antzuola,Antzuola,41,18
ES20012,Arama,Arama,Arama,41,18
ES20013,Aretxabaleta,Aretxabaleta,Aretxabaleta,41,18
ES20014,Asteasu,Asteasu,Asteasu,41,18
ES20015,Ataun,Ataun,Ataun,41,18
ES20016,Aia,Aia,Aia,41,18
ES20017,Azkoitia,Azkoitia,Azkoitia,41,18
ES20018,Azpeitia,Azpeitia,Azpeitia,41,18
ES20019,Beasain,Beasain,Beasain,41,18
ES20020,Beizama,Beizama,Beizama,41,18
ES20021,Belauntza,Belauntza,Belauntza,41,18
ES20022,Berastegi,Berastegi,Berastegi,41,18
ES20023,Berrobi,Berrobi,Berrobi,41,18
ES20024,Bidania-Goiatz,Bidania-Goiatz,Bidania-Goiatz,41,18
ES20025,Zegama,Zegama,Zegama,41,18
ES20026,Zerain,Zerain,Zerain,41,18
ES20027,Zestoa,Zestoa,Zestoa,41,18
ES20028,Zizurkil,Zizurkil,Zizurkil,41,18
ES20029,Deba,Deba,Deba,41,18
ES20030,Eibar,Eibar,Eibar,41,18
ES20031,Elduain,Elduain,Elduain,41,18
ES20032,Elgoibar,Elgoibar,Elgoibar,41,18
ES20033,Elgeta,Elgeta,Elgeta,41,18
ES20034,Eskoriatza,Eskoriatza,Eskoriatza,41,18
ES20035,Ezkio-Itsaso,Ezkio-Itsaso,Ezkio-Itsaso,41,18
ES20036,Hondarribia,Hondarribia,Hondarribia,41,18
ES20037,Gaintza,Gaintza,Gaintza,41,18
ES20038,Gabiria,Gabiria,Gabiria,41,18
ES20039,Getaria,Getaria,Getaria,41,18
ES20040,Hernani,Hernani,Hernani,41,18
ES20041,Hernialde,Hernialde,Hernialde,41,18
ES20042,Ibarra,Ibarra,Ibarra,41,18
ES20043,Idiazabal,Idiazabal,Idiazabal,41,18
ES20044,Ikaztegieta,Ikaztegieta,Ikaztegieta,41,18
ES20045,Irun,Irun,Irun,41,18
ES20046,Irura,Irura,Irura,41,18
ES20047,Itsasondo,Itsasondo,Itsasondo,41,18
ES20048,Larraul,Larraul,Larraul,41,18
ES20049,Lazkao,Lazkao,Lazkao,41,18
ES20050,Leaburu,Leaburu,Leaburu,41,18
ES20051,Legazpi,Legazpi,Legazpi,41,18
ES20052,Legorreta,Legorreta,Legorreta,41,18
ES20053,Lezo,Lezo,Lezo,41,18
ES20054,Lizartza,Lizartza,Lizartza,41,18
