Value,es,eu,en,Disaggregation combinations using this value,Number of indicators
ES01001,Alegría-Dulantzi,Alegría-Dulantzi,Alegría-Dulantzi,4,1
ES01002,Amurrio,Amurrio,Amurrio,4,1
ES01003,Aramaio,Aramaio,Aramaio,4,1
ES01004,Artziniega,Artziniega,Artziniega,4,1
ES01006,Armiñón,Armiñón,Armiñón,4,1
ES01008,Arratzua-Ubarrundia,Arratzua-Ubarrundia,Arratzua-Ubarrundia,4,1
ES01009,Asparrena,Asparrena,Asparrena,4,1
ES01010,Ayala/Aiara,Ayala/Aiara,Ayala/Aiara,4,1
ES01011,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,Baños de Ebro/Mañueta,4,1
ES01013,Barrundia,Barrundia,Barrundia,4,1
ES01014,Berantevilla,Berantevilla,Berantevilla,4,1
ES01016,Bernedo,Bernedo,Bernedo,4,1
ES01017,Campezo/Kanpezu,Campezo/Kanpezu,Campezo/Kanpezu,4,1
ES01018,Zigoitia,Zigoitia,Zigoitia,4,1
ES01019,Kripan,Kripan,Kripan,4,1
ES0101,Añana (comarca),Añana (comarca),Añana (comarca),4,1
ES01020,Kuartango,Kuartango,Kuartango,4,1
ES01021,Elburgo/Burgelu,Elburgo/Burgelu,Elburgo/Burgelu,4,1
ES01022,Elciego,Elciego,Elciego,4,1
ES01023,Elvillar/Bilar,Elvillar/Bilar,Elvillar/Bilar,4,1
ES01027,Iruraiz-Gauna,Iruraiz-Gauna,Iruraiz-Gauna,4,1
ES01028,Labastida/Bastida,Labastida/Bastida,Labastida/Bastida,4,1
ES0102,Arabako Lautada / Llanada Alavesa,Arabako Lautada / Llanada Alavesa,Arabako Lautada / Llanada Alavesa,4,1
ES01030,Lagrán,Lagrán,Lagrán,4,1
ES01031,Laguardia,Laguardia,Laguardia,4,1
ES01032,Lanciego/Lantziego,Lanciego/Lantziego,Lanciego/Lantziego,4,1
ES01033,Lapuebla de Labarca,Lapuebla de Labarca,Lapuebla de Labarca,4,1
ES01034,Leza,Leza,Leza,4,1
ES01036,Laudio/Llodio,Laudio/Llodio,Laudio/Llodio,4,1
ES01037,Arraia-Maeztu,Arraia-Maeztu,Arraia-Maeztu,4,1
ES01039,Moreda de Álava/Moreda Araba,Moreda de Álava/Moreda Araba,Moreda de Álava/Moreda Araba,4,1
ES0103,Arabako Mendialdea / Montaña Alavesa,Arabako Mendialdea / Montaña Alavesa,Arabako Mendialdea / Montaña Alavesa,4,1
ES01041,Navaridas,Navaridas,Navaridas,4,1
ES01042,Okondo,Okondo,Okondo,4,1
ES01043,Oyón-Oion,Oyón-Oion,Oyón-Oion,4,1
ES01044,Peñacerrada-Urizaharra,Peñacerrada-Urizaharra,Peñacerrada-Urizaharra,4,1
ES01046,Erriberagoitia/Ribera Alta,Erriberagoitia/Ribera Alta,Erriberagoitia/Ribera Alta,4,1
ES01047,Ribera Baja/Erriberabeitia,Ribera Baja/Erriberabeitia,Ribera Baja/Erriberabeitia,4,1
ES01049,Añana,Añana,Añana,4,1
ES0104,Arabako Errioxa / Rioja Alavesa,Arabako Errioxa / Rioja Alavesa,Arabako Errioxa / Rioja Alavesa,4,1
ES01051,Agurain/Salvatierra,Agurain/Salvatierra,Agurain/Salvatierra,4,1
ES01052,Samaniego,Samaniego,Samaniego,4,1
ES01053,San Millán/Donemiliaga,San Millán/Donemiliaga,San Millán/Donemiliaga,4,1
ES01054,Urkabustaiz,Urkabustaiz,Urkabustaiz,4,1
ES01055,Valdegovía/Gaubea,Valdegovía/Gaubea,Valdegovía/Gaubea,4,1
ES01056,Harana/Valle de Arana,Harana/Valle de Arana,Harana/Valle de Arana,4,1
ES01057,Villabuena de Álava/Eskuernaga,Villabuena de Álava/Eskuernaga,Villabuena de Álava/Eskuernaga,4,1
ES01058,Legutio,Legutio,Legutio,4,1
ES01059,Vitoria-Gasteiz,Vitoria-Gasteiz,Vitoria-Gasteiz,4,1
ES0105,Gorbeialdea / Estribaciones del Gorbea,Gorbeialdea / Estribaciones del Gorbea,Gorbeialdea / Estribaciones del Gorbea,4,1
ES01060,Yécora/Iekora,Yécora/Iekora,Yécora/Iekora,4,1
ES01061,Zalduondo,Zalduondo,Zalduondo,4,1
ES01062,Zambrana,Zambrana,Zambrana,4,1
ES01063,Zuia,Zuia,Zuia,4,1
ES0106,Arabako Kantaurialdea / Cantábrica Alavesa,Arabako Kantaurialdea / Cantábrica Alavesa,Arabako Kantaurialdea / Cantábrica Alavesa,4,1
ES01901,Iruña Oka/Iruña de Oca,Iruña Oka/Iruña de Oca,Iruña Oka/Iruña de Oca,4,1
ES01902,Lantarón,Lantarón,Lantarón,4,1
ES20001,Abaltzisketa,Abaltzisketa,Abaltzisketa,4,1
ES20002,Aduna,Aduna,Aduna,4,1
ES20003,Aizarnazabal,Aizarnazabal,Aizarnazabal,4,1
ES20004,Albiztur,Albiztur,Albiztur,4,1
ES20005,Alegia,Alegia,Alegia,4,1
ES20006,Alkiza,Alkiza,Alkiza,4,1
ES20007,Altzo,Altzo,Altzo,4,1
ES20008,Amezketa,Amezketa,Amezketa,4,1
ES20009,Andoain,Andoain,Andoain,4,1
ES20010,Anoeta,Anoeta,Anoeta,4,1
ES20011,Antzuola,Antzuola,Antzuola,4,1
ES20012,Arama,Arama,Arama,4,1
ES20013,Aretxabaleta,Aretxabaleta,Aretxabaleta,4,1
ES20014,Asteasu,Asteasu,Asteasu,4,1
ES20015,Ataun,Ataun,Ataun,4,1
ES20016,Aia,Aia,Aia,4,1
ES20017,Azkoitia,Azkoitia,Azkoitia,4,1
ES20018,Azpeitia,Azpeitia,Azpeitia,4,1
ES20019,Beasain,Beasain,Beasain,4,1
ES2001,Bidasoa Beherea / Bajo Bidasoa,Bidasoa Beherea / Bajo Bidasoa,Bidasoa Beherea / Bajo Bidasoa,4,1
ES20020,Beizama,Beizama,Beizama,4,1
ES20021,Belauntza,Belauntza,Belauntza,4,1
ES20022,Berastegi,Berastegi,Berastegi,4,1
ES20023,Berrobi,Berrobi,Berrobi,4,1
ES20024,Bidania-Goiatz,Bidania-Goiatz,Bidania-Goiatz,4,1
ES20025,Zegama,Zegama,Zegama,4,1
ES20026,Zerain,Zerain,Zerain,4,1
ES20027,Zestoa,Zestoa,Zestoa,4,1
ES20028,Zizurkil,Zizurkil,Zizurkil,4,1
ES20029,Deba,Deba,Deba,4,1
ES2002,Debabarrena / Bajo Deba,Debabarrena / Bajo Deba,Debabarrena / Bajo Deba,4,1
ES20030,Eibar,Eibar,Eibar,4,1
ES20031,Elduain,Elduain,Elduain,4,1
ES20032,Elgoibar,Elgoibar,Elgoibar,4,1
ES20033,Elgeta,Elgeta,Elgeta,4,1
ES20034,Eskoriatza,Eskoriatza,Eskoriatza,4,1
ES20035,Ezkio-Itsaso,Ezkio-Itsaso,Ezkio-Itsaso,4,1
ES20036,Hondarribia,Hondarribia,Hondarribia,4,1
ES20037,Gaintza,Gaintza,Gaintza,4,1
ES20038,Gabiria,Gabiria,Gabiria,4,1
ES20039,Getaria,Getaria,Getaria,4,1
ES2003,Debagoiena / Alto Deba,Debagoiena / Alto Deba,Debagoiena / Alto Deba,4,1
ES20040,Hernani,Hernani,Hernani,4,1
ES20041,Hernialde,Hernialde,Hernialde,4,1
ES20042,Ibarra,Ibarra,Ibarra,4,1
ES20043,Idiazabal,Idiazabal,Idiazabal,4,1
ES20044,Ikaztegieta,Ikaztegieta,Ikaztegieta,4,1
ES20045,Irun,Irun,Irun,4,1
ES20046,Irura,Irura,Irura,4,1
ES20047,Itsasondo,Itsasondo,Itsasondo,4,1
ES20048,Larraul,Larraul,Larraul,4,1
ES20049,Lazkao,Lazkao,Lazkao,4,1
ES2004,Donostialdea,Donostialdea,Donostialdea,4,1
ES20050,Leaburu,Leaburu,Leaburu,4,1
ES20051,Legazpi,Legazpi,Legazpi,4,1
ES20052,Legorreta,Legorreta,Legorreta,4,1
ES20053,Lezo,Lezo,Lezo,4,1
ES20054,Lizartza,Lizartza,Lizartza,4,1
ES20055,Arrasate/Mondragón,Arrasate/Mondragón,Arrasate/Mondragón,4,1
ES20056,Mutriku,Mutriku,Mutriku,4,1
ES20057,Mutiloa,Mutiloa,Mutiloa,4,1
ES20058,Olaberria,Olaberria,Olaberria,4,1
ES20059,Oñati,Oñati,Oñati,4,1
ES2005,Goierri,Goierri,Goierri,4,1
ES20060,Orexa,Orexa,Orexa,4,1
ES20061,Orio,Orio,Orio,4,1
ES20062,Ormaiztegi,Ormaiztegi,Ormaiztegi,4,1
ES20063,Oiartzun,Oiartzun,Oiartzun,4,1
ES20064,Pasaia,Pasaia,Pasaia,4,1
ES20065,Soraluze-Placencia de las Armas,Soraluze-Placencia de las Armas,Soraluze-Placencia de las Armas,4,1
ES20066,Errezil,Errezil,Errezil,4,1
ES20067,Errenteria,Errenteria,Errenteria,4,1
ES20068,Leintz-Gatzaga,Leintz-Gatzaga,Leintz-Gatzaga,4,1
ES20069,Donostia / San Sebastián,Donostia / San Sebastián,Donostia / San Sebastián,4,1
ES2006,Tolosaldea,Tolosaldea,Tolosaldea,4,1
ES20070,Segura,Segura,Segura,4,1
ES20071,Tolosa,Tolosa,Tolosa,4,1
ES20072,Urnieta,Urnieta,Urnieta,4,1
ES20073,Usurbil,Usurbil,Usurbil,4,1
ES20074,Bergara,Bergara,Bergara,4,1
ES20075,Villabona,Villabona,Villabona,4,1
ES20076,Ordizia,Ordizia,Ordizia,4,1
ES20077,Urretxu,Urretxu,Urretxu,4,1
ES20078,Zaldibia,Zaldibia,Zaldibia,4,1
ES20079,Zarautz,Zarautz,Zarautz,4,1
ES2007,Urola Kosta,Urola Kosta,Urola Kosta,4,1
ES20080,Zumarraga,Zumarraga,Zumarraga,4,1
ES20081,Zumaia,Zumaia,Zumaia,4,1
ES20901,Mendaro,Mendaro,Mendaro,4,1
ES20902,Lasarte-Oria,Lasarte-Oria,Lasarte-Oria,4,1
ES20903,Astigarraga,Astigarraga,Astigarraga,4,1
ES20904,Baliarrain,Baliarrain,Baliarrain,4,1
ES20905,Orendain,Orendain,Orendain,4,1
ES20906,Altzaga,Altzaga,Altzaga,4,1
ES20907,Gaztelu,Gaztelu,Gaztelu,4,1
ES211,Araba/Álava,Araba/Álava,Araba/Álava,16,4
ES212,Gipuzkoa,Gipuzkoa,Gipuzkoa,16,4
ES213,Bizkaia,Bizkaia,Bizkaia,16,4
ES48001,Abadiño,Abadiño,Abadiño,4,1
ES48002,Abanto y Ciérvana-Abanto Zierbena,Abanto y Ciérvana-Abanto Zierbena,Abanto y Ciérvana-Abanto Zierbena,4,1
ES48003,Amorebieta-Etxano,Amorebieta-Etxano,Amorebieta-Etxano,4,1
ES48004,Amoroto,Amoroto,Amoroto,4,1
ES48005,Arakaldo,Arakaldo,Arakaldo,4,1
ES48006,Arantzazu,Arantzazu,Arantzazu,4,1
ES48007,Munitibar-Arbatzegi Gerrikaitz,Munitibar-Arbatzegi Gerrikaitz,Munitibar-Arbatzegi Gerrikaitz,4,1
ES48008,Artzentales,Artzentales,Artzentales,4,1
ES48009,Arrankudiaga-Zollo,Arrankudiaga-Zollo,Arrankudiaga-Zollo,4,1
ES48010,Arrieta,Arrieta,Arrieta,4,1
ES48011,Arrigorriaga,Arrigorriaga,Arrigorriaga,4,1
ES48012,Bakio,Bakio,Bakio,4,1
ES48013,Barakaldo,Barakaldo,Barakaldo,4,1
ES48014,Barrika,Barrika,Barrika,4,1
ES48015,Basauri,Basauri,Basauri,4,1
ES48016,Berango,Berango,Berango,4,1
ES48017,Bermeo,Bermeo,Bermeo,4,1
ES48018,Berriatua,Berriatua,Berriatua,4,1
ES48019,Berriz,Berriz,Berriz,4,1
ES4801,Arratia Nerbioi / Arratia-Nervión,Arratia Nerbioi / Arratia-Nervión,Arratia Nerbioi / Arratia-Nervión,4,1
ES48020,Bilbao,Bilbao,Bilbao,4,1
ES48021,Busturia,Busturia,Busturia,4,1
ES48022,Karrantza Harana/Valle de Carranza,Karrantza Harana/Valle de Carranza,Karrantza Harana/Valle de Carranza,4,1
ES48023,Artea,Artea,Artea,4,1
ES48024,Zeanuri,Zeanuri,Zeanuri,4,1
ES48025,Zeberio,Zeberio,Zeberio,4,1
ES48026,Dima,Dima,Dima,4,1
ES48027,Durango,Durango,Durango,4,1
ES48028,Ea,Ea,Ea,4,1
ES48029,Etxebarri,Etxebarri,Etxebarri,4,1
ES4802,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,Bilbo Handia / Gran Bilbao,4,1
ES48030,Etxebarria,Etxebarria,Etxebarria,4,1
ES48031,Elantxobe,Elantxobe,Elantxobe,4,1
ES48032,Elorrio,Elorrio,Elorrio,4,1
ES48033,Ereño,Ereño,Ereño,4,1
ES48034,Ermua,Ermua,Ermua,4,1
ES48035,Fruiz,Fruiz,Fruiz,4,1
ES48036,Galdakao,Galdakao,Galdakao,4,1
ES48037,Galdames,Galdames,Galdames,4,1
